NC_008223_Squalogadus_modificatus	TOPOLOGY		circular	
	source	1..16550	ff_definition	NC_008223_Squalogadus_modificatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_008223_Squalogadus_modificatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2837..3796	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4237..5281	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5281,aa:TERM)
			transl_table	2
	CDS	5659..7215	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7366..8056	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8056,aa:TERM)
			transl_table	2
	CDS	8132..8299	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8290..8972	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8971..8972,aa:TERM)
			transl_table	2
	CDS	8973..9757	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9756..9757,aa:TERM)
			transl_table	2
	CDS	9828..10178	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10248..10544	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10538..11918	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11918,aa:TERM)
			transl_table	2
	CDS	12132..13973	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14004..14525)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14601..15741	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15741,aa:TERM)
			transl_table	2
	rRNA	69..1018	product	12S rRNA
	rRNA	1091..2836	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1019..1090	product	tRNA-Val
	tRNA	3801..3870	product	tRNA-Ile
	tRNA	3888..3961	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	complement(4097..4167)	product	tRNA-Gln
	tRNA	4167..4236	product	tRNA-Met
	tRNA	5282..5351	product	tRNA-Trp
	tRNA	complement(5353..5421)	product	tRNA-Ala
	tRNA	complement(5423..5495)	product	tRNA-Asn
	tRNA	complement(5527..5590)	product	tRNA-Cys
	tRNA	complement(5591..5657)	product	tRNA-Tyr
	tRNA	complement(7211..7281)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7285..7352	product	tRNA-Asp
	tRNA	8057..8130	product	tRNA-Lys
	tRNA	9758..9827	product	tRNA-Gly
	tRNA	10179..10247	product	tRNA-Arg
	tRNA	11919..11987	product	tRNA-His
	tRNA	11988..12056	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12059..12130	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14526..14593)	product	tRNA-Glu
	tRNA	15742..15816	product	tRNA-Thr
	tRNA	complement(15864..15933)	product	tRNA-Pro
	D-loop	15934..16550	note	control region
