NC_033901_Bolbometopon_muricatum	TOPOLOGY		circular	
	source	1..16788	ff_definition	NC_033901_Bolbometopon_muricatum mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_033901_Bolbometopon_muricatum
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2845..3816	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4112..5158	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5564..7114	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7269..7959	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7959,aa:TERM)
			transl_table	2
	CDS	8035..8202	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8193..8875	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8874..8875,aa:TERM)
			transl_table	2
	CDS	8876..9660	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9659..9660,aa:TERM)
			transl_table	2
	CDS	9733..10084	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10084,aa:TERM)
			transl_table	2
	CDS	10154..10450	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10444..11824	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11824,aa:TERM)
			transl_table	2
	CDS	12049..13887	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13884..14405)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14480..15620	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15620,aa:TERM)
			transl_table	2
	rRNA	69..1013	product	12S rRNA
	rRNA	1086..2767	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1014..1085	product	tRNA-Val
	tRNA	2768..2841	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3819..3888	product	tRNA-Ile
	tRNA	3899..3968	product	tRNA-Met
	tRNA	complement(3975..4045)	product	tRNA-Gln
	tRNA	5168..5237	product	tRNA-Trp
	tRNA	complement(5240..5308)	product	tRNA-Ala
	tRNA	complement(5312..5384)	product	tRNA-Asn
	tRNA	complement(5425..5491)	product	tRNA-Cys
	tRNA	complement(5492..5562)	product	tRNA-Tyr
	tRNA	complement(7115..7185)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7189..7261	product	tRNA-Asp
	tRNA	7960..8033	product	tRNA-Lys
	tRNA	9661..9731	product	tRNA-Gly
	tRNA	10085..10153	product	tRNA-Arg
	tRNA	11825..11893	product	tRNA-His
	tRNA	11895..11963	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11977..12048	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14406..14474)	product	tRNA-Glu
	tRNA	15621..15692	product	tRNA-Thr
	tRNA	complement(15692..15762)	product	tRNA-Pro
	D-loop	15763..16788	note	control region
