NC_015107_Paramormyrops_gabonensis	TOPOLOGY		circular	
	source	1..16758	ff_definition	NC_015107_Paramormyrops_gabonensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015107_Paramormyrops_gabonensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2918..3889	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4102..5146	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5146,aa:TERM)
			transl_table	2
	CDS	5534..7093	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7242..7932	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7932,aa:TERM)
			transl_table	2
	CDS	8008..8175	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8166..8848	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8847..8848,aa:TERM)
			transl_table	2
	CDS	8849..9633	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9632..9633,aa:TERM)
			transl_table	2
	CDS	9706..10054	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10054,aa:TERM)
			transl_table	2
	CDS	10125..10421	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10415..11795	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11795,aa:TERM)
			transl_table	2
	CDS	12006..13847	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13843..14364)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14437..15577	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15577,aa:TERM)
			transl_table	2
	rRNA	70..1048	product	12S rRNA
	rRNA	1122..2832	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1049..1121	product	tRNA-Val
	tRNA	2833..2907	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3892..3963	product	tRNA-Ile
	tRNA	complement(3963..4033)	product	tRNA-Gln
	tRNA	4033..4101	product	tRNA-Met
	tRNA	5147..5215	product	tRNA-Trp
	tRNA	complement(5217..5285)	product	tRNA-Ala
	tRNA	complement(5287..5359)	product	tRNA-Asn
	tRNA	complement(5396..5461)	product	tRNA-Cys
	tRNA	complement(5462..5532)	product	tRNA-Tyr
	tRNA	complement(7085..7155)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7167..7237	product	tRNA-Asp
	tRNA	7933..8006	product	tRNA-Lys
	tRNA	9634..9705	product	tRNA-Gly
	tRNA	10055..10124	product	tRNA-Arg
	tRNA	11796..11864	product	tRNA-His
	tRNA	11865..11932	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11933..12005	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14365..14432)	product	tRNA-Glu
	tRNA	15578..15650	product	tRNA-Thr
	tRNA	complement(15653..15722)	product	tRNA-Pro
	D-loop	15723..16758	note	control region
