NC_027598_Centropyge_venusta	TOPOLOGY		circular	
	source	1..16641	ff_definition	NC_027598_Centropyge_venusta mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027598_Centropyge_venusta
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2877..3851	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4065..5111	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5533..7083	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7239..7929	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7929,aa:TERM)
			transl_table	2
	CDS	8006..8173	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8164..8846	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8845..8846,aa:TERM)
			transl_table	2
	CDS	8847..9631	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9630..9631,aa:TERM)
			transl_table	2
	CDS	9704..10052	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10052,aa:TERM)
			transl_table	2
	CDS	10122..10418	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10412..11792	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11792,aa:TERM)
			transl_table	2
	CDS	12006..13844	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13841..14362)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14436..15576	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15576,aa:TERM)
			transl_table	2
	rRNA	69..1022	product	12S rRNA
	rRNA	1095..2800	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1023..1094	product	tRNA-Val
	tRNA	2801..2876	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3856..3925	product	tRNA-Ile
	tRNA	complement(3925..3995)	product	tRNA-Gln
	tRNA	3995..4064	product	tRNA-Met
	tRNA	5139..5211	product	tRNA-Trp
	tRNA	complement(5212..5280)	product	tRNA-Ala
	tRNA	complement(5282..5354)	product	tRNA-Asn
	tRNA	complement(5395..5461)	product	tRNA-Cys
	tRNA	complement(5462..5531)	product	tRNA-Tyr
	tRNA	complement(7085..7155)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7160..7231	product	tRNA-Asp
	tRNA	7930..8004	product	tRNA-Lys
	tRNA	9632..9703	product	tRNA-Gly
	tRNA	10053..10121	product	tRNA-Arg
	tRNA	11793..11862	product	tRNA-His
	tRNA	11863..11929	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11933..12005	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14363..14431)	product	tRNA-Glu
	tRNA	15577..15648	product	tRNA-Thr
	tRNA	complement(15648..15718)	product	tRNA-Pro
	D-loop	15719..16641	note	control region
