NC_003169_Coelorinchus_kishinouyei	TOPOLOGY		circular	
	source	1..15942	ff_definition	NC_003169_Coelorinchus_kishinouyei mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_003169_Coelorinchus_kishinouyei
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2809..3780	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	3996..5042	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5438..6988	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7136..7820	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7820,aa:TERM)
			transl_table	2
	CDS	7894..8061	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8052..8734	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8733..8734,aa:TERM)
			transl_table	2
	CDS	8735..9519	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9518..9519,aa:TERM)
			transl_table	2
	CDS	9589..9937	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9937,aa:TERM)
			transl_table	2
	CDS	10007..10303	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10297..11677	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11677,aa:TERM)
			transl_table	2
	CDS	11890..13734	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13735..14256)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14316..15455	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1012	product	12S rRNA
	rRNA	1084..2734	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1013..1083	product	tRNA-Val
	tRNA	2735..2808	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3786..3856	product	tRNA-Ile
	tRNA	complement(3856..3926)	product	tRNA-Gln
	tRNA	3926..3995	product	tRNA-Met
	tRNA	5056..5124	product	tRNA-Trp
	tRNA	complement(5126..5194)	product	tRNA-Ala
	tRNA	complement(5196..5268)	product	tRNA-Asn
	tRNA	complement(5301..5366)	product	tRNA-Cys
	tRNA	complement(5370..5436)	product	tRNA-Tyr
	tRNA	complement(6984..7054)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7058..7126	product	tRNA-Asp
	tRNA	7821..7892	product	tRNA-Lys
	tRNA	9520..9588	product	tRNA-Gly
	tRNA	9938..10006	product	tRNA-Arg
	tRNA	11678..11746	product	tRNA-His
	tRNA	11747..11815	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11817..11889	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	15458..15532	product	tRNA-Thr
	tRNA	complement(15545..15614)	product	tRNA-Pro
	tRNA	complement(15632..15698)	product	tRNA-Glu
