NC_011624_Takifugu_chrysops	TOPOLOGY		circular	
	source	1..16448	ff_definition	NC_011624_Takifugu_chrysops mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011624_Takifugu_chrysops
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2829..3803	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4014..5059	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5058..5059,aa:TERM)
			transl_table	2
	CDS	5445..7004	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7148..7838	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7838,aa:TERM)
			transl_table	2
	CDS	7913..8080	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8071..8753	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8752..8753,aa:TERM)
			transl_table	2
	CDS	8754..9538	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9537..9538,aa:TERM)
			transl_table	2
	CDS	9610..9958	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9958,aa:TERM)
			transl_table	2
	CDS	10029..10325	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10319..11699	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11699,aa:TERM)
			transl_table	2
	CDS	11913..13751	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13747..14268)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14342..15478	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1014	product	12S rRNA
	rRNA	1088..2755	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1015..1087	product	tRNA-Val
	tRNA	2756..2828	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3806..3875	product	tRNA-Ile
	tRNA	complement(3875..3945)	product	tRNA-Gln
	tRNA	3945..4013	product	tRNA-Met
	tRNA	5060..5130	product	tRNA-Trp
	tRNA	complement(5132..5200)	product	tRNA-Ala
	tRNA	complement(5203..5276)	product	tRNA-Asn
	tRNA	complement(5311..5374)	product	tRNA-Cys
	tRNA	complement(5374..5443)	product	tRNA-Tyr
	tRNA	complement(6996..7066)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7070..7141	product	tRNA-Asp
	tRNA	7839..7911	product	tRNA-Lys
	tRNA	9539..9609	product	tRNA-Gly
	tRNA	9959..10028	product	tRNA-Arg
	tRNA	11700..11768	product	tRNA-His
	tRNA	11769..11834	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11840..11912	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14269..14337)	product	tRNA-Glu
	tRNA	15482..15553	product	tRNA-Thr
	tRNA	complement(15553..15622)	product	tRNA-Pro
	D-loop	15623..16448	note	control region
