NC_023520_Carcharias_taurus	TOPOLOGY		circular	
	source	1..16773	ff_definition	NC_023520_Carcharias_taurus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023520_Carcharias_taurus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2838..3812	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4023..5065	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5064..5065,aa:TERM)
			transl_table	2
	CDS	5508..7061	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7213..7903	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7903,aa:TERM)
			transl_table	2
	CDS	7979..8146	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8137..8819	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8818..8819,aa:TERM)
			transl_table	2
	CDS	8820..9605	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9678..10026	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10026,aa:TERM)
			transl_table	2
	CDS	10097..10393	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10387..11767	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11767,aa:TERM)
			transl_table	2
	CDS	11976..13805	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13801..14322)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14395..15539	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15538..15539,aa:TERM)
			transl_table	2
	rRNA	71..1020	product	12S rRNA
	rRNA	1093..2762	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1021..1092	product	tRNA-Val
	tRNA	2763..2837	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3815..3883	product	tRNA-Ile
	tRNA	complement(3882..3953)	product	tRNA-Gln
	tRNA	3954..4022	product	tRNA-Met
	tRNA	5066..5134	product	tRNA-Trp
	tRNA	complement(5136..5204)	product	tRNA-Ala
	tRNA	complement(5265..5337)	product	tRNA-Asn
	tRNA	complement(5371..5437)	product	tRNA-Cys
	tRNA	complement(5437..5506)	product	tRNA-Tyr
	tRNA	complement(7064..7134)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7139..7208	product	tRNA-Asp
	tRNA	7904..7977	product	tRNA-Lys
	tRNA	9608..9677	product	tRNA-Gly
	tRNA	10027..10096	product	tRNA-Arg
	tRNA	11768..11836	product	tRNA-His
	tRNA	11837..11903	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11904..11975	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14323..14392)	product	tRNA-Glu
	tRNA	15540..15610	product	tRNA-Thr
	tRNA	complement(15646..15714)	product	tRNA-Pro
	D-loop	15715..16773	note	control region
