NC_010269_Aulostomus_chinensis	TOPOLOGY		circular	
	source	1..18154	ff_definition	NC_010269_Aulostomus_chinensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_010269_Aulostomus_chinensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	4190..5740	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	5900..6590	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:6590,aa:TERM)
			transl_table	2
	CDS	6662..6826	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	6816..7498	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:7497..7498,aa:TERM)
			transl_table	2
	CDS	7499..8284	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	8356..8704	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:8704,aa:TERM)
			transl_table	2
	CDS	8774..9070	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	9064..10444	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:10444,aa:TERM)
			transl_table	2
	CDS	10656..12494	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(12490..13011)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	13084..14227	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:14227,aa:TERM)
			transl_table	2
	CDS	15210..16172	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	16253..17298	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:17297..17298,aa:TERM)
			transl_table	2
	rRNA	73..1052	product	12S rRNA
	rRNA	1126..2871	product	16S rRNA
	tRNA	1..72	product	tRNA-Phe
	tRNA	1053..1125	product	tRNA-Val
	tRNA	2872..2946	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	2955..3024	product	tRNA-Ile
	tRNA	complement(3868..3936)	product	tRNA-Ala
	tRNA	complement(3938..4010)	product	tRNA-Asn
	tRNA	complement(4054..4119)	product	tRNA-Cys
	tRNA	complement(4121..4188)	product	tRNA-Tyr
	tRNA	complement(5732..5803)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	5810..5881	product	tRNA-Asp
	tRNA	6591..6660	product	tRNA-Lys
	tRNA	8285..8355	product	tRNA-Gly
	tRNA	8705..8773	product	tRNA-Arg
	tRNA	10445..10513	product	tRNA-His
	tRNA	10514..10580	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	10583..10655	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(13012..13080)	product	tRNA-Glu
	tRNA	14228..14303	product	tRNA-Thr
	tRNA	complement(14309..14378)	product	tRNA-Pro
	tRNA	16183..16251	product	tRNA-Met
	tRNA	17299..17371	product	tRNA-Trp
	tRNA	complement(17771..17841)	product	tRNA-Gln
	D-loop	3025..3867	note	control region
	D-loop	14379..15209	note	control region
