NC_017897_Squalomugil_nasutus	TOPOLOGY		circular	
	source	1..16974	ff_definition	NC_017897_Squalomugil_nasutus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_017897_Squalomugil_nasutus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2878..3852	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4065..5110	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5109..5110,aa:TERM)
			transl_table	2
	CDS	5500..7056	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7254..7944	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7944,aa:TERM)
			transl_table	2
	CDS	8030..8182	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8173..8855	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8854..8855,aa:TERM)
			transl_table	2
	CDS	8856..9639	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9639,aa:TERM)
			transl_table	2
	CDS	9712..10062	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10134..10430	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10424..11804	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11804,aa:TERM)
			transl_table	2
	CDS	12020..13915	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13912..14433)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14507..15658	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1022	product	12S rRNA
	rRNA	1095..2803	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1023..1094	product	tRNA-Val
	tRNA	2804..2877	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3857..3926	product	tRNA-Ile
	tRNA	complement(3925..3995)	product	tRNA-Gln
	tRNA	3995..4063	product	tRNA-Met
	tRNA	5111..5182	product	tRNA-Trp
	tRNA	complement(5184..5252)	product	tRNA-Ala
	tRNA	complement(5254..5326)	product	tRNA-Asn
	tRNA	complement(5358..5425)	product	tRNA-Cys
	tRNA	complement(5426..5492)	product	tRNA-Tyr
	tRNA	complement(7096..7166)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7178..7250	product	tRNA-Asp
	tRNA	7945..8018	product	tRNA-Lys
	tRNA	9640..9711	product	tRNA-Gly
	tRNA	10063..10132	product	tRNA-Arg
	tRNA	11805..11873	product	tRNA-His
	tRNA	11875..11941	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11944..12016	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14434..14502)	product	tRNA-Glu
	tRNA	15684..15759	product	tRNA-Thr
	tRNA	complement(15787..15856)	product	tRNA-Pro
	D-loop	15857..16974	note	control region
