NC_030590_Amphiprion_akallopisos	TOPOLOGY		circular	
	source	1..16840	ff_definition	NC_030590_Amphiprion_akallopisos mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_030590_Amphiprion_akallopisos
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2970..3944	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4157..5201	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5201,aa:TERM)
			transl_table	2
	CDS	5594..7159	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7338..8028	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8028,aa:TERM)
			transl_table	2
	CDS	8105..8272	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8263..8945	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8944..8945,aa:TERM)
			transl_table	2
	CDS	8946..9730	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9729..9730,aa:TERM)
			transl_table	2
	CDS	9803..10151	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10151,aa:TERM)
			transl_table	2
	CDS	10221..10517	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10511..11891	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11891,aa:TERM)
			transl_table	2
	CDS	12113..13981	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13977..14498)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14571..15711	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15711,aa:TERM)
			transl_table	2
	rRNA	71..604	product	12S rRNA
	rRNA	1198..2895	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1126..1197	product	tRNA-Val
	tRNA	2896..2969	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3949..4018	product	tRNA-Ile
	tRNA	complement(4018..4088)	product	tRNA-Gln
	tRNA	4088..4156	product	tRNA-Met
	tRNA	5202..5273	product	tRNA-Trp
	tRNA	complement(5277..5345)	product	tRNA-Ala
	tRNA	complement(5348..5420)	product	tRNA-Asn
	tRNA	complement(5454..5520)	product	tRNA-Cys
	tRNA	complement(5522..5592)	product	tRNA-Tyr
	tRNA	complement(7185..7255)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7259..7330	product	tRNA-Asp
	tRNA	8029..8102	product	tRNA-Lys
	tRNA	9731..9802	product	tRNA-Gly
	tRNA	10152..10220	product	tRNA-Arg
	tRNA	11892..11960	product	tRNA-His
	tRNA	11961..12029	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12040..12112	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14500..14568)	product	tRNA-Glu
	tRNA	15712..15782	product	tRNA-Thr
	tRNA	complement(15784..15853)	product	tRNA-Pro
	D-loop	15854..16840	note	control region
