NC_013630_Paraconger_notialis	TOPOLOGY		circular	
	source	1..17729	ff_definition	NC_013630_Paraconger_notialis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013630_Paraconger_notialis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2894..3862	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4081..5125	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5125,aa:TERM)
			transl_table	2
	CDS	5522..7117	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7255..7945	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7945,aa:TERM)
			transl_table	2
	CDS	8022..8189	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8180..8862	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8861..8862,aa:TERM)
			transl_table	2
	CDS	8863..9647	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9646..9647,aa:TERM)
			transl_table	2
	CDS	9720..10068	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10068,aa:TERM)
			transl_table	2
	CDS	10139..10435	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10429..11809	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11809,aa:TERM)
			transl_table	2
	CDS	12022..13869	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13918..15057	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	CDS	complement(16107..16625)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	71..1030	product	12S rRNA
	rRNA	1102..2817	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1031..1101	product	tRNA-Val
	tRNA	2818..2893	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3869..3941	product	tRNA-Ile
	tRNA	complement(3942..4012)	product	tRNA-Gln
	tRNA	4012..4080	product	tRNA-Met
	tRNA	5126..5197	product	tRNA-Trp
	tRNA	complement(5199..5267)	product	tRNA-Ala
	tRNA	complement(5270..5342)	product	tRNA-Asn
	tRNA	complement(5384..5449)	product	tRNA-Cys
	tRNA	complement(5450..5520)	product	tRNA-Tyr
	tRNA	complement(7105..7175)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7181..7248	product	tRNA-Asp
	tRNA	7946..8020	product	tRNA-Lys
	tRNA	9648..9719	product	tRNA-Gly
	tRNA	10069..10138	product	tRNA-Arg
	tRNA	11810..11878	product	tRNA-His
	tRNA	11879..11948	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11949..12021	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	15061..15132	product	tRNA-Thr
	tRNA	complement(16626..16694)	product	tRNA-Glu
	tRNA	complement(16701..16771)	product	tRNA-Pro
	D-loop	15133..16106	note	control region
	D-loop	16772..17729	note	control region
