NC_017876_Agonostomus_monticola	TOPOLOGY		circular	
	source	1..16734	ff_definition	NC_017876_Agonostomus_monticola mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_017876_Agonostomus_monticola
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2872..3840	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4052..5096	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5096,aa:TERM)
			transl_table	2
	CDS	5486..7072	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7233..7923	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7923,aa:TERM)
			transl_table	2
	CDS	7999..8166	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8157..8839	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8838..8839,aa:TERM)
			transl_table	2
	CDS	8840..9623	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9623,aa:TERM)
			transl_table	2
	CDS	9696..10041	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10041,aa:TERM)
			transl_table	2
	CDS	10111..10407	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10401..11781	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11781,aa:TERM)
			transl_table	2
	CDS	11997..13838	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13835..14349)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14441..15581	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15581,aa:TERM)
			transl_table	2
	rRNA	72..1030	product	12S rRNA
	rRNA	1104..2796	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1031..1103	product	tRNA-Val
	tRNA	2797..2870	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3845..3914	product	tRNA-Ile
	tRNA	complement(3913..3983)	product	tRNA-Gln
	tRNA	3983..4051	product	tRNA-Met
	tRNA	5097..5168	product	tRNA-Trp
	tRNA	complement(5170..5238)	product	tRNA-Ala
	tRNA	complement(5240..5312)	product	tRNA-Asn
	tRNA	complement(5346..5411)	product	tRNA-Cys
	tRNA	complement(5412..5478)	product	tRNA-Tyr
	tRNA	complement(7081..7151)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7156..7228	product	tRNA-Asp
	tRNA	7924..7997	product	tRNA-Lys
	tRNA	9624..9695	product	tRNA-Gly
	tRNA	10042..10110	product	tRNA-Arg
	tRNA	11782..11850	product	tRNA-His
	tRNA	11851..11918	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11921..11993	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14357..14425)	product	tRNA-Glu
	tRNA	15582..15653	product	tRNA-Thr
	tRNA	complement(15678..15749)	product	tRNA-Pro
	D-loop	15750..16734	note	control region
