NC_010121_Boreogadus_saida	TOPOLOGY		circular	
	source	1..16745	ff_definition	NC_010121_Boreogadus_saida mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_010121_Boreogadus_saida
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2830..3804	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4015..5059	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5059,aa:TERM)
			transl_table	2
	CDS	5633..7183	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7341..8031	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8031,aa:TERM)
			transl_table	2
	CDS	8107..8274	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8265..8947	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8946..8947,aa:TERM)
			transl_table	2
	CDS	8948..9732	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9731..9732,aa:TERM)
			transl_table	2
	CDS	9803..10151	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10151,aa:TERM)
			transl_table	2
	CDS	10221..10517	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10511..11891	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11891,aa:TERM)
			transl_table	2
	CDS	12104..13942	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13938..14459)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14533..15673	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15673,aa:TERM)
			transl_table	2
	rRNA	69..1019	product	12S rRNA
	rRNA	1092..2755	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1020..1091	product	tRNA-Val
	tRNA	2756..2829	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3806..3875	product	tRNA-Ile
	tRNA	complement(3875..3945)	product	tRNA-Gln
	tRNA	3945..4014	product	tRNA-Met
	tRNA	5060..5129	product	tRNA-Trp
	tRNA	complement(5131..5199)	product	tRNA-Ala
	tRNA	complement(5203..5275)	product	tRNA-Asn
	tRNA	complement(5393..5465)	product	tRNA-Asn
	tRNA	complement(5499..5564)	product	tRNA-Cys
	tRNA	complement(5565..5631)	product	tRNA-Tyr
	tRNA	complement(7186..7256)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7260..7327	product	tRNA-Asp
	tRNA	8032..8105	product	tRNA-Lys
	tRNA	9733..9802	product	tRNA-Gly
	tRNA	10152..10220	product	tRNA-Arg
	tRNA	11892..11960	product	tRNA-His
	tRNA	11961..12028	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12031..12103	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14460..14528)	product	tRNA-Glu
	tRNA	15674..15744	product	tRNA-Thr
	tRNA	complement(15815..15884)	product	tRNA-Pro
	D-loop	15885..16745	note	control region
