NC_014764_Protopterus_aethiopicus	TOPOLOGY		circular	
	source	1..15873	ff_definition	NC_014764_Protopterus_aethiopicus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_014764_Protopterus_aethiopicus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2743..3710	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3709..3710,aa:TERM)
			transl_table	2
	CDS	3919..4950	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5328..6875	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7026..7716	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7716,aa:TERM)
			transl_table	2
	CDS	7787..7954	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	7945..8626	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8626,aa:TERM)
			transl_table	2
	CDS	8627..9410	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9410,aa:TERM)
			transl_table	2
	CDS	9482..9827	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9827,aa:TERM)
			transl_table	2
	CDS	9897..10193	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10187..11570	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11570,aa:TERM)
			transl_table	2
	CDS	11778..13613	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13602..14116)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14186..15325	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1002	product	12S rRNA
	rRNA	1076..2667	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1003..1075	product	tRNA-Val
	tRNA	2668..2742	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3711..3780	product	tRNA-Ile
	tRNA	complement(3779..3849)	product	tRNA-Gln
	tRNA	3849..3918	product	tRNA-Met
	tRNA	4953..5022	product	tRNA-Trp
	tRNA	complement(5023..5091)	product	tRNA-Ala
	tRNA	complement(5092..5164)	product	tRNA-Asn
	tRNA	complement(5192..5256)	product	tRNA-Cys
	tRNA	complement(5257..5326)	product	tRNA-Tyr
	tRNA	complement(6881..6951)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	6954..7022	product	tRNA-Asp
	tRNA	7717..7785	product	tRNA-Lys
	tRNA	9411..9480	product	tRNA-Gly
	tRNA	9828..9896	product	tRNA-Arg
	tRNA	11571..11639	product	tRNA-His
	tRNA	11640..11706	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11707..11777	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14115..14183)	product	tRNA-Glu
	tRNA	15330..15401	product	tRNA-Thr
	tRNA	complement(15404..15473)	product	tRNA-Pro
