NC_023225_Zebrias_quagga	TOPOLOGY		circular	
	source	1..17045	ff_definition	NC_023225_Zebrias_quagga mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023225_Zebrias_quagga
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2898..3872	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4080..5125	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5124..5125,aa:TERM)
			transl_table	2
	CDS	5510..7060	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7211..7901	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7901,aa:TERM)
			transl_table	2
	CDS	7978..8145	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8136..8818	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8817..8818,aa:TERM)
			transl_table	2
	CDS	8819..9603	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9602..9603,aa:TERM)
			transl_table	2
	CDS	9674..10022	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10022,aa:TERM)
			transl_table	2
	CDS	10093..10389	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10383..11763	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11763,aa:TERM)
			transl_table	2
	CDS	11978..13822	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13824..14345)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14420..15560	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15560,aa:TERM)
			transl_table	2
	rRNA	69..1031	product	12S rRNA
	rRNA	1104..2824	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1032..1103	product	tRNA-Val
	tRNA	2825..2897	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3873..3941	product	tRNA-Ile
	tRNA	complement(3941..4011)	product	tRNA-Gln
	tRNA	4011..4079	product	tRNA-Met
	tRNA	5126..5197	product	tRNA-Trp
	tRNA	complement(5198..5266)	product	tRNA-Ala
	tRNA	complement(5268..5340)	product	tRNA-Asn
	tRNA	complement(5378..5441)	product	tRNA-Cys
	tRNA	complement(5442..5508)	product	tRNA-Tyr
	tRNA	complement(7061..7131)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7135..7204	product	tRNA-Asp
	tRNA	7902..7976	product	tRNA-Lys
	tRNA	9604..9673	product	tRNA-Gly
	tRNA	10023..10091	product	tRNA-Arg
	tRNA	11764..11832	product	tRNA-His
	tRNA	11833..11900	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11905..11977	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14347..14414)	product	tRNA-Glu
	tRNA	15561..15637	product	tRNA-Thr
	tRNA	complement(15637..15707)	product	tRNA-Pro
	D-loop	15708..17045	note	control region
