NC_007228_Synodus_variegatus	TOPOLOGY		circular	
	source	1..16448	ff_definition	NC_007228_Synodus_variegatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_007228_Synodus_variegatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2828..3802	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4017..5059	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5058..5059,aa:TERM)
			transl_table	2
	CDS	5438..6988	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7148..7838	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7838,aa:TERM)
			transl_table	2
	CDS	7914..8081	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8072..8754	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8753..8754,aa:TERM)
			transl_table	2
	CDS	8755..9540	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9612..9962	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10033..10329	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10323..11702	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_table	2
	CDS	11913..13745	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13741..14262)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14337..15477	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15477,aa:TERM)
			transl_table	2
	rRNA	69..1013	product	12S rRNA
	rRNA	1086..2753	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1014..1085	product	tRNA-Val
	tRNA	2754..2827	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3808..3879	product	tRNA-Ile
	tRNA	complement(3878..3948)	product	tRNA-Gln
	tRNA	3948..4016	product	tRNA-Met
	tRNA	5060..5131	product	tRNA-Trp
	tRNA	complement(5133..5201)	product	tRNA-Ala
	tRNA	complement(5202..5273)	product	tRNA-Asn
	tRNA	complement(5304..5368)	product	tRNA-Cys
	tRNA	complement(5369..5436)	product	tRNA-Tyr
	tRNA	complement(6989..7059)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7063..7134	product	tRNA-Asp
	tRNA	7839..7912	product	tRNA-Lys
	tRNA	9541..9611	product	tRNA-Gly
	tRNA	9963..10032	product	tRNA-Arg
	tRNA	11703..11770	product	tRNA-His
	tRNA	11771..11839	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11841..11912	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14263..14331)	product	tRNA-Glu
	tRNA	15478..15548	product	tRNA-Thr
	tRNA	complement(15548..15618)	product	tRNA-Pro
	D-loop	15619..16448	note	control region
