NC_005799_Megalops_cyprinoides	TOPOLOGY		circular	
	source	1..16412	ff_definition	NC_005799_Megalops_cyprinoides mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_005799_Megalops_cyprinoides
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2872..3846	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4068..5112	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5112,aa:TERM)
			transl_table	2
	CDS	5506..7101	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7255..7945	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7945,aa:TERM)
			transl_table	2
	CDS	8022..8189	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8180..8862	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8861..8862,aa:TERM)
			transl_table	2
	CDS	8863..9647	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9646..9647,aa:TERM)
			transl_table	2
	CDS	9720..10068	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10068,aa:TERM)
			transl_table	2
	CDS	10139..10435	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10429..11809	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11809,aa:TERM)
			transl_table	2
	CDS	12021..13862	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13859..14380)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14455..15595	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15595,aa:TERM)
			transl_table	2
	rRNA	72..1024	product	12S rRNA
	rRNA	1099..2796	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1025..1098	product	tRNA-Val
	tRNA	2797..2871	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3858..3929	product	tRNA-Ile
	tRNA	complement(3929..3999)	product	tRNA-Gln
	tRNA	3999..4067	product	tRNA-Met
	tRNA	5113..5181	product	tRNA-Trp
	tRNA	complement(5183..5251)	product	tRNA-Ala
	tRNA	complement(5253..5325)	product	tRNA-Asn
	tRNA	complement(5368..5433)	product	tRNA-Cys
	tRNA	complement(5434..5504)	product	tRNA-Tyr
	tRNA	complement(7093..7163)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7169..7240	product	tRNA-Asp
	tRNA	7946..8020	product	tRNA-Lys
	tRNA	9648..9719	product	tRNA-Gly
	tRNA	10069..10138	product	tRNA-Arg
	tRNA	11810..11878	product	tRNA-His
	tRNA	11879..11946	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11948..12020	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14381..14449)	product	tRNA-Glu
	tRNA	15596..15670	product	tRNA-Thr
	tRNA	complement(15682..15751)	product	tRNA-Pro
	D-loop	15752..16412	note	control region
