NC_018546_Oryzias_melastigma	TOPOLOGY		circular	
	source	1..16864	ff_definition	NC_018546_Oryzias_melastigma mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_018546_Oryzias_melastigma
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2827..3801	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4013..5062	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5450..7006	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7160..7850	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7850,aa:TERM)
			transl_table	2
	CDS	7926..8093	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8084..8766	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8765..8766,aa:TERM)
			transl_table	2
	CDS	8767..9550	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9550,aa:TERM)
			transl_table	2
	CDS	9621..9969	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9969,aa:TERM)
			transl_table	2
	CDS	10039..10335	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10329..11709	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11709,aa:TERM)
			transl_table	2
	CDS	11928..13766	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13762..14283)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14355..15495	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15495,aa:TERM)
			transl_table	2
	rRNA	70..1010	product	12S rRNA
	rRNA	1083..2752	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1011..1082	product	tRNA-Val
	tRNA	2753..2826	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3805..3873	product	tRNA-Ile
	tRNA	complement(3873..3943)	product	tRNA-Gln
	tRNA	3943..4012	product	tRNA-Met
	tRNA	5063..5132	product	tRNA-Trp
	tRNA	complement(5133..5201)	product	tRNA-Ala
	tRNA	complement(5203..5275)	product	tRNA-Asn
	tRNA	complement(5314..5379)	product	tRNA-Cys
	tRNA	complement(5379..5448)	product	tRNA-Tyr
	tRNA	complement(7008..7078)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7086..7156	product	tRNA-Asp
	tRNA	7851..7924	product	tRNA-Lys
	tRNA	9551..9620	product	tRNA-Gly
	tRNA	9970..10038	product	tRNA-Arg
	tRNA	11710..11779	product	tRNA-His
	tRNA	11780..11848	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11855..11927	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14284..14351)	product	tRNA-Glu
	tRNA	15496..15568	product	tRNA-Thr
	tRNA	complement(15568..15637)	product	tRNA-Pro
	D-loop	15638..16864	note	control region
