NC_012050_Gyrinomimus_myersi	TOPOLOGY		circular	
	source	1..16568	ff_definition	NC_012050_Gyrinomimus_myersi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_012050_Gyrinomimus_myersi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2841..3815	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4025..5070	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5069..5070,aa:TERM)
			transl_table	2
	CDS	5452..7002	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7160..7850	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7850,aa:TERM)
			transl_table	2
	CDS	7926..8093	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8084..8766	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8765..8766,aa:TERM)
			transl_table	2
	CDS	8767..9551	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9550..9551,aa:TERM)
			transl_table	2
	CDS	9623..9971	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9971,aa:TERM)
			transl_table	2
	CDS	10041..10337	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10331..11711	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11711,aa:TERM)
			transl_table	2
	CDS	11924..13762	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13747..14268)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14342..15482	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15482,aa:TERM)
			transl_table	2
	rRNA	71..1013	product	12S rRNA
	rRNA	1086..2766	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1014..1085	product	tRNA-Val
	tRNA	2767..2840	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3817..3885	product	tRNA-Ile
	tRNA	complement(3885..3956)	product	tRNA-Gln
	tRNA	3956..4024	product	tRNA-Met
	tRNA	5071..5142	product	tRNA-Trp
	tRNA	complement(5144..5212)	product	tRNA-Ala
	tRNA	complement(5214..5286)	product	tRNA-Asn
	tRNA	complement(5318..5382)	product	tRNA-Cys
	tRNA	complement(5383..5450)	product	tRNA-Tyr
	tRNA	complement(7003..7073)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7077..7148	product	tRNA-Asp
	tRNA	7851..7924	product	tRNA-Lys
	tRNA	9552..9622	product	tRNA-Gly
	tRNA	9972..10040	product	tRNA-Arg
	tRNA	11712..11780	product	tRNA-His
	tRNA	11781..11848	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11851..11923	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14269..14336)	product	tRNA-Glu
	tRNA	15483..15554	product	tRNA-Thr
	tRNA	complement(15554..15623)	product	tRNA-Pro
	D-loop	15624..16568	note	control region
