NC_028289_Macropharyngodon_negrosensis	TOPOLOGY		circular	
	source	1..16889	ff_definition	NC_028289_Macropharyngodon_negrosensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_028289_Macropharyngodon_negrosensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2858..3832	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4045..5089	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5089,aa:TERM)
			transl_table	2
	CDS	5630..7180	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			note	Incomplete stop codon
			transl_table	2
	CDS	7333..8023	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8023,aa:TERM)
			transl_table	2
	CDS	8099..8266	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8257..8939	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8938..8939,aa:TERM)
			transl_table	2
	CDS	8940..9724	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9723..9724,aa:TERM)
			transl_table	2
	CDS	9799..10150	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10150,aa:TERM)
			transl_table	2
	CDS	10220..10516	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10510..11889	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12108..13946	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13956..14477)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14555..15695	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15695,aa:TERM)
			transl_table	2
	rRNA	69..1016	product	12S rRNA
	rRNA	1090..2783	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1017..1089	product	tRNA-Val
	tRNA	2784..2857	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3836..3905	product	tRNA-Ile
	tRNA	complement(3905..3975)	product	tRNA-Gln
	tRNA	3975..4044	product	tRNA-Met
	tRNA	5090..5162	product	tRNA-Trp
	tRNA	complement(5313..5381)	product	tRNA-Ala
	tRNA	complement(5383..5455)	product	tRNA-Asn
	tRNA	complement(5492..5558)	product	tRNA-Cys
	tRNA	complement(5559..5628)	product	tRNA-Tyr
	tRNA	complement(7181..7251)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7255..7327	product	tRNA-Asp
	tRNA	8024..8097	product	tRNA-Lys
	tRNA	9725..9797	product	tRNA-Gly
	tRNA	10151..10219	product	tRNA-Arg
	tRNA	11891..11959	product	tRNA-His
	tRNA	11960..12028	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12035..12107	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14478..14546)	product	tRNA-Glu
	tRNA	15696..15768	product	tRNA-Thr
	tRNA	complement(15768..15837)	product	tRNA-Pro
	D-loop	15838..16889	note	control region
