NC_009711_Reinhardtius_hippoglossoides	TOPOLOGY		circular	
	source	1..18017	ff_definition	NC_009711_Reinhardtius_hippoglossoides mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_009711_Reinhardtius_hippoglossoides
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2880..3854	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4069..5114	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5113..5114,aa:TERM)
			transl_table	2
	CDS	5503..7068	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7226..7916	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7916,aa:TERM)
			transl_table	2
	CDS	7991..8158	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8149..8831	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8830..8831,aa:TERM)
			transl_table	2
	CDS	8832..9616	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9615..9616,aa:TERM)
			transl_table	2
	CDS	9689..10037	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10037,aa:TERM)
			transl_table	2
	CDS	10107..10403	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10397..11777	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11777,aa:TERM)
			transl_table	2
	CDS	11992..13830	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13827..14348)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14422..15562	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15562,aa:TERM)
			transl_table	2
	rRNA	69..1017	product	12S rRNA
	rRNA	1092..2805	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1018..1091	product	tRNA-Val
	tRNA	2806..2879	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3860..3930	product	tRNA-Ile
	tRNA	complement(3930..4000)	product	tRNA-Gln
	tRNA	4000..4068	product	tRNA-Met
	tRNA	5115..5186	product	tRNA-Trp
	tRNA	complement(5188..5256)	product	tRNA-Ala
	tRNA	complement(5258..5330)	product	tRNA-Asn
	tRNA	complement(5369..5433)	product	tRNA-Cys
	tRNA	complement(5434..5501)	product	tRNA-Tyr
	tRNA	complement(7064..7134)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7149..7219	product	tRNA-Asp
	tRNA	7917..7989	product	tRNA-Lys
	tRNA	9617..9688	product	tRNA-Gly
	tRNA	10038..10106	product	tRNA-Arg
	tRNA	11778..11847	product	tRNA-His
	tRNA	11848..11914	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11919..11991	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14349..14417)	product	tRNA-Glu
	tRNA	15563..15635	product	tRNA-Thr
	tRNA	complement(15635..15705)	product	tRNA-Pro
	D-loop	15706..18017	note	control region
