NC_014290_Hydrolagus_lemures	TOPOLOGY		circular	
	source	1..21233	ff_definition	NC_014290_Hydrolagus_lemures mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_014290_Hydrolagus_lemures
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2822..3793	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4009..5050	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5050,aa:TERM)
			transl_table	2
	CDS	5443..7002	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7140..7830	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7830,aa:TERM)
			transl_table	2
	CDS	7927..8744	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8743..8744,aa:TERM)
			transl_table	2
	CDS	8745..9530	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9600..9608	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_table	2
	CDS	9609..9950	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	10020..10316	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10310..11685	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11684..11685,aa:TERM)
			transl_table	2
	CDS	11896..13722	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13719..14240)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14313..15456	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15456,aa:TERM)
			transl_table	2
	rRNA	69..1014	product	12S rRNA
	rRNA	1086..2746	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1015..1085	product	tRNA-Val
	tRNA	2747..2821	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3800..3869	product	tRNA-Ile
	tRNA	complement(3869..3939)	product	tRNA-Gln
	tRNA	3940..4008	product	tRNA-Met
	tRNA	5051..5119	product	tRNA-Trp
	tRNA	complement(5121..5189)	product	tRNA-Ala
	tRNA	complement(5191..5263)	product	tRNA-Asn
	tRNA	complement(5309..5373)	product	tRNA-Cys
	tRNA	complement(5374..5441)	product	tRNA-Tyr
	tRNA	complement(6990..7061)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7070..7138	product	tRNA-Asp
	tRNA	7831..7903	product	tRNA-Lys
	tRNA	9531..9599	product	tRNA-Gly
	tRNA	9950..10019	product	tRNA-Arg
	tRNA	11686..11754	product	tRNA-His
	tRNA	11755..11823	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11824..11895	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14241..14310)	product	tRNA-Glu
	tRNA	15457..15525	product	tRNA-Thr
	tRNA	complement(19836..19904)	product	tRNA-Pro
	D-loop	15526..19835	note	control region
	D-loop	19905..21233	note	control region
