NC_019641_Taeniura_meyeni	TOPOLOGY		circular	
	source	1..17638	ff_definition	NC_019641_Taeniura_meyeni mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_019641_Taeniura_meyeni
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2880..3857	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4077..5122	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5121..5122,aa:TERM)
			transl_table	2
	CDS	5516..7072	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7227..7917	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7917,aa:TERM)
			transl_table	2
	CDS	8040..8812	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8811..8812,aa:TERM)
			transl_table	2
	CDS	8813..8833	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			note	Incomplete stop codon
			transl_table	2
	CDS	8834..9619	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9697..10045	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10045,aa:TERM)
			transl_table	2
	CDS	10117..10413	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10407..11787	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11787,aa:TERM)
			transl_table	2
	CDS	11999..13846	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13843..14364)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14442..15584	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1032	product	12S rRNA
	rRNA	1105..2803	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1033..1104	product	tRNA-Val
	tRNA	2804..2878	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3860..3929	product	tRNA-Ile
	tRNA	complement(3934..4005)	product	tRNA-Gln
	tRNA	4006..4076	product	tRNA-Met
	tRNA	5123..5192	product	tRNA-Trp
	tRNA	complement(5193..5261)	product	tRNA-Ala
	tRNA	complement(5263..5335)	product	tRNA-Asn
	tRNA	complement(5372..5438)	product	tRNA-Cys
	tRNA	complement(5445..5514)	product	tRNA-Tyr
	tRNA	complement(7082..7152)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7153..7223	product	tRNA-Asp
	tRNA	7918..7991	product	tRNA-Lys
	tRNA	9625..9696	product	tRNA-Gly
	tRNA	10046..10116	product	tRNA-Arg
	tRNA	11788..11856	product	tRNA-His
	tRNA	11858..11924	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11927..11998	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14366..14434)	product	tRNA-Glu
	tRNA	15591..15663	product	tRNA-Thr
	tRNA	complement(15673..15741)	product	tRNA-Pro
	D-loop	15742..17638	note	control region
