NC_011173_Hyporhamphus_sajori	TOPOLOGY		circular	
	source	1..16721	ff_definition	NC_011173_Hyporhamphus_sajori mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011173_Hyporhamphus_sajori
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2847..3821	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4034..5078	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5078,aa:TERM)
			transl_table	2
	CDS	5554..7203	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7362..8055	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8055,aa:TERM)
			transl_table	2
	CDS	8132..8299	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8278..8972	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8971..8972,aa:TERM)
			transl_table	2
	CDS	8973..9757	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9756..9757,aa:TERM)
			transl_table	2
	CDS	9828..10176	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10176,aa:TERM)
			transl_table	2
	CDS	10247..10543	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10537..11917	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11917,aa:TERM)
			transl_table	2
	CDS	12132..13967	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13964..14485)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14558..15698	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15698,aa:TERM)
			transl_table	2
	rRNA	70..1020	product	12S rRNA
	rRNA	1093..2772	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1021..1092	product	tRNA-Val
	tRNA	2773..2846	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3826..3895	product	tRNA-Ile
	tRNA	complement(3895..3965)	product	tRNA-Gln
	tRNA	3965..4033	product	tRNA-Met
	tRNA	5079..5149	product	tRNA-Trp
	tRNA	complement(5151..5219)	product	tRNA-Ala
	tRNA	complement(5220..5292)	product	tRNA-Asn
	tRNA	complement(5329..5395)	product	tRNA-Cys
	tRNA	complement(5397..5463)	product	tRNA-Tyr
	tRNA	complement(7212..7282)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7286..7357	product	tRNA-Asp
	tRNA	8056..8130	product	tRNA-Lys
	tRNA	9758..9827	product	tRNA-Gly
	tRNA	10177..10246	product	tRNA-Arg
	tRNA	11918..11986	product	tRNA-His
	tRNA	11987..12054	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12059..12131	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14486..14553)	product	tRNA-Glu
	tRNA	15699..15770	product	tRNA-Thr
	tRNA	complement(15771..15840)	product	tRNA-Pro
	D-loop	15841..16721	note	control region
