NC_029223_Paralichthys_lethostigma	TOPOLOGY		circular	
	source	1..16843	ff_definition	NC_029223_Paralichthys_lethostigma mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_029223_Paralichthys_lethostigma
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2896..3870	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4084..5129	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5128..5129,aa:TERM)
			transl_table	2
	CDS	5518..7068	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7232..7922	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7922,aa:TERM)
			transl_table	2
	CDS	7997..8164	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8155..8837	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8836..8837,aa:TERM)
			transl_table	2
	CDS	8838..9622	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9621..9622,aa:TERM)
			transl_table	2
	CDS	9695..10043	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10043,aa:TERM)
			transl_table	2
	CDS	10113..10409	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10403..11783	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11783,aa:TERM)
			transl_table	2
	CDS	12000..13847	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13844..14365)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14439..15579	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15579,aa:TERM)
			transl_table	2
	rRNA	69..1017	product	12S rRNA
	rRNA	1091..2821	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1018..1090	product	tRNA-Val
	tRNA	2822..2895	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3875..3945	product	tRNA-Ile
	tRNA	complement(3945..4015)	product	tRNA-Gln
	tRNA	4015..4083	product	tRNA-Met
	tRNA	5130..5201	product	tRNA-Trp
	tRNA	complement(5204..5272)	product	tRNA-Ala
	tRNA	complement(5274..5346)	product	tRNA-Asn
	tRNA	complement(5384..5448)	product	tRNA-Cys
	tRNA	complement(5449..5516)	product	tRNA-Tyr
	tRNA	complement(7069..7139)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7153..7223	product	tRNA-Asp
	tRNA	7923..7995	product	tRNA-Lys
	tRNA	9623..9694	product	tRNA-Gly
	tRNA	10044..10112	product	tRNA-Arg
	tRNA	11784..11853	product	tRNA-His
	tRNA	11854..11920	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11926..11998	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14366..14434)	product	tRNA-Glu
	tRNA	15580..15651	product	tRNA-Thr
	tRNA	complement(15651..15723)	product	tRNA-Pro
	D-loop	15724..16843	note	control region
