NC_027596_Genicanthus_semifasciatus	TOPOLOGY		circular	
	source	1..16722	ff_definition	NC_027596_Genicanthus_semifasciatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027596_Genicanthus_semifasciatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2876..3850	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4063..5109	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5524..7074	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7231..7921	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7921,aa:TERM)
			transl_table	2
	CDS	7998..8165	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8156..8838	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8837..8838,aa:TERM)
			transl_table	2
	CDS	8839..9623	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9622..9623,aa:TERM)
			transl_table	2
	CDS	9696..10044	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10044,aa:TERM)
			transl_table	2
	CDS	10114..10410	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10404..11784	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11784,aa:TERM)
			transl_table	2
	CDS	11998..13836	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13833..14354)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14428..15568	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15568,aa:TERM)
			transl_table	2
	rRNA	69..1024	product	12S rRNA
	rRNA	1097..2799	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1025..1096	product	tRNA-Val
	tRNA	2800..2875	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3854..3923	product	tRNA-Ile
	tRNA	complement(3923..3993)	product	tRNA-Gln
	tRNA	3993..4062	product	tRNA-Met
	tRNA	5130..5203	product	tRNA-Trp
	tRNA	complement(5204..5272)	product	tRNA-Ala
	tRNA	complement(5274..5347)	product	tRNA-Asn
	tRNA	complement(5386..5452)	product	tRNA-Cys
	tRNA	complement(5453..5522)	product	tRNA-Tyr
	tRNA	complement(7076..7146)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7152..7223	product	tRNA-Asp
	tRNA	7922..7996	product	tRNA-Lys
	tRNA	9624..9695	product	tRNA-Gly
	tRNA	10045..10113	product	tRNA-Arg
	tRNA	11785..11854	product	tRNA-His
	tRNA	11855..11921	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11925..11997	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14355..14423)	product	tRNA-Glu
	tRNA	15569..15640	product	tRNA-Thr
	tRNA	complement(15640..15709)	product	tRNA-Pro
	D-loop	15710..16722	note	control region
