NC_024187_Doryrhamphus_japonicus	TOPOLOGY		circular	
	source	1..16568	ff_definition	NC_024187_Doryrhamphus_japonicus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024187_Doryrhamphus_japonicus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2843..3814	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4026..5068	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5067..5068,aa:TERM)
			transl_table	2
	CDS	5454..7004	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7151..7841	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7841,aa:TERM)
			transl_table	2
	CDS	7917..8084	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8075..8757	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8756..8757,aa:TERM)
			transl_table	2
	CDS	8758..9542	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9541..9542,aa:TERM)
			transl_table	2
	CDS	9614..9962	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9962,aa:TERM)
			transl_table	2
	CDS	10033..10329	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10323..11703	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11703,aa:TERM)
			transl_table	2
	CDS	11916..13757	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13754..14275)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14349..15489	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15489,aa:TERM)
			transl_table	2
	rRNA	71..1012	product	12S rRNA
	rRNA	1084..2768	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1013..1083	product	tRNA-Val
	tRNA	2769..2842	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3816..3886	product	tRNA-Ile
	tRNA	complement(3885..3954)	product	tRNA-Gln
	tRNA	3957..4025	product	tRNA-Met
	tRNA	5069..5140	product	tRNA-Trp
	tRNA	complement(5142..5210)	product	tRNA-Ala
	tRNA	complement(5212..5284)	product	tRNA-Asn
	tRNA	complement(5320..5385)	product	tRNA-Cys
	tRNA	complement(5386..5452)	product	tRNA-Tyr
	tRNA	complement(7005..7075)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7079..7147	product	tRNA-Asp
	tRNA	7842..7915	product	tRNA-Lys
	tRNA	9543..9613	product	tRNA-Gly
	tRNA	9963..10031	product	tRNA-Arg
	tRNA	11704..11772	product	tRNA-His
	tRNA	11773..11840	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11843..11915	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14276..14344)	product	tRNA-Glu
	tRNA	15490..15562	product	tRNA-Thr
	tRNA	complement(15562..15630)	product	tRNA-Pro
	D-loop	15631..16568	note	control region
