NC_027497_Himantura_hortlei	TOPOLOGY		circular	
	source	1..17688	ff_definition	NC_027497_Himantura_hortlei mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027497_Himantura_hortlei
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2867..3841	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4065..5110	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5109..5110,aa:TERM)
			transl_table	2
	CDS	5510..7066	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7220..7910	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7910,aa:TERM)
			transl_table	2
	CDS	7986..8153	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8144..8827	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8831..9616	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9690..10040	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10119..10415	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10409..11789	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11789,aa:TERM)
			transl_table	2
	CDS	12002..13849	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13846..14367)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14446..15588	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1035	product	12S rRNA
	rRNA	1108..2790	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1036..1107	product	tRNA-Val
	tRNA	2791..2865	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3844..3913	product	tRNA-Ile
	tRNA	complement(3921..3992)	product	tRNA-Gln
	tRNA	3994..4064	product	tRNA-Met
	tRNA	5111..5180	product	tRNA-Trp
	tRNA	complement(5184..5252)	product	tRNA-Ala
	tRNA	complement(5260..5332)	product	tRNA-Asn
	tRNA	complement(5368..5435)	product	tRNA-Cys
	tRNA	complement(5439..5508)	product	tRNA-Tyr
	tRNA	complement(7074..7144)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7145..7215	product	tRNA-Asp
	tRNA	7911..7984	product	tRNA-Lys
	tRNA	9619..9688	product	tRNA-Gly
	tRNA	10048..10118	product	tRNA-Arg
	tRNA	11790..11858	product	tRNA-His
	tRNA	11860..11927	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11930..12001	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14368..14436)	product	tRNA-Glu
	tRNA	15601..15673	product	tRNA-Thr
	tRNA	complement(15683..15752)	product	tRNA-Pro
	D-loop	15753..17688	note	control region
