NC_022455_Novumbra_hubbsi	TOPOLOGY		circular	
	source	1..16567	ff_definition	NC_022455_Novumbra_hubbsi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022455_Novumbra_hubbsi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2818..3792	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4004..5053	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5440..6990	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7147..7837	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7837,aa:TERM)
			transl_table	2
	CDS	7913..8080	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8071..8752	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8752,aa:TERM)
			transl_table	2
	CDS	8753..9537	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9536..9537,aa:TERM)
			transl_table	2
	CDS	9609..9954	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9954,aa:TERM)
			transl_table	2
	CDS	10025..10321	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10315..11695	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11695,aa:TERM)
			transl_table	2
	CDS	11909..13747	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13744..14265)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14338..15474	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1008	product	12S rRNA
	rRNA	1080..2742	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1009..1079	product	tRNA-Val
	tRNA	2743..2817	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3796..3867	product	tRNA-Ile
	tRNA	complement(3865..3935)	product	tRNA-Gln
	tRNA	3935..4003	product	tRNA-Met
	tRNA	5055..5126	product	tRNA-Trp
	tRNA	complement(5128..5196)	product	tRNA-Ala
	tRNA	complement(5198..5270)	product	tRNA-Asn
	tRNA	complement(5302..5368)	product	tRNA-Cys
	tRNA	complement(5369..5438)	product	tRNA-Tyr
	tRNA	complement(6991..7061)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7067..7139	product	tRNA-Asp
	tRNA	7838..7911	product	tRNA-Lys
	tRNA	9538..9608	product	tRNA-Gly
	tRNA	9955..10024	product	tRNA-Arg
	tRNA	11696..11764	product	tRNA-His
	tRNA	11765..11833	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11836..11908	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14266..14335)	product	tRNA-Glu
	tRNA	15478..15549	product	tRNA-Thr
	tRNA	complement(15549..15619)	product	tRNA-Pro
	D-loop	15620..16567	note	control region
