NC_024846_Percilia_irwini	TOPOLOGY		circular	
	source	1..16621	ff_definition	NC_024846_Percilia_irwini mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024846_Percilia_irwini
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2889..3863	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4079..5124	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5123..5124,aa:TERM)
			transl_table	2
	CDS	5511..7061	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7216..7906	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7906,aa:TERM)
			transl_table	2
	CDS	7983..8150	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8141..8823	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8822..8823,aa:TERM)
			transl_table	2
	CDS	8824..9607	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9607,aa:TERM)
			transl_table	2
	CDS	9681..10029	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10029,aa:TERM)
			transl_table	2
	CDS	10099..10395	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10389..11762	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	11987..13825	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13822..14343)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14417..15553	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1016	product	12S rRNA
	rRNA	1089..2814	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1017..1088	product	tRNA-Val
	tRNA	2815..2888	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3868..3937	product	tRNA-Ile
	tRNA	complement(3938..4008)	product	tRNA-Gln
	tRNA	4008..4078	product	tRNA-Met
	tRNA	5125..5196	product	tRNA-Trp
	tRNA	complement(5198..5266)	product	tRNA-Ala
	tRNA	complement(5268..5340)	product	tRNA-Asn
	tRNA	complement(5374..5438)	product	tRNA-Cys
	tRNA	complement(5439..5509)	product	tRNA-Tyr
	tRNA	complement(7062..7132)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7136..7208	product	tRNA-Asp
	tRNA	7907..7980	product	tRNA-Lys
	tRNA	9608..9680	product	tRNA-Gly
	tRNA	10030..10098	product	tRNA-Arg
	tRNA	11772..11841	product	tRNA-His
	tRNA	11842..11909	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11914..11986	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14344..14412)	product	tRNA-Glu
	tRNA	15558..15630	product	tRNA-Thr
	tRNA	complement(15652..15720)	product	tRNA-Pro
	D-loop	15721..16621	note	control region
