NC_026919_Selenotoca_multifasciata	TOPOLOGY		circular	
	source	1..16646	ff_definition	NC_026919_Selenotoca_multifasciata mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026919_Selenotoca_multifasciata
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2939..3913	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4137..5181	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5181,aa:TERM)
			transl_table	2
	CDS	5571..7133	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7277..7967	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7967,aa:TERM)
			transl_table	2
	CDS	8045..8212	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8203..8885	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8884..8885,aa:TERM)
			transl_table	2
	CDS	8886..9670	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9669..9670,aa:TERM)
			transl_table	2
	CDS	9741..10089	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10089,aa:TERM)
			transl_table	2
	CDS	10159..10455	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10449..11835	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11835,aa:TERM)
			transl_table	2
	CDS	12049..13887	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13884..14405)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14483..15625	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1025	product	12S rRNA
	rRNA	1098..2804	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1026..1097	product	tRNA-Val
	tRNA	2805..2878	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3918..3987	product	tRNA-Ile
	tRNA	complement(3996..4067)	product	tRNA-Gln
	tRNA	4067..4135	product	tRNA-Met
	tRNA	5182..5253	product	tRNA-Trp
	tRNA	complement(5254..5322)	product	tRNA-Ala
	tRNA	complement(5326..5398)	product	tRNA-Asn
	tRNA	complement(5432..5498)	product	tRNA-Cys
	tRNA	complement(5499..5569)	product	tRNA-Tyr
	tRNA	complement(7125..7195)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7199..7270	product	tRNA-Asp
	tRNA	7968..8042	product	tRNA-Lys
	tRNA	9671..9740	product	tRNA-Gly
	tRNA	10090..10158	product	tRNA-Arg
	tRNA	11836..11904	product	tRNA-His
	tRNA	11905..11972	product	tRNA-Ser
	tRNA	11977..12048	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14410..14478)	product	tRNA-Glu
	tRNA	15626..15697	product	tRNA-Thr
	tRNA	complement(15697..15767)	product	tRNA-Pro
	D-loop	15768..16646	note	control region
