NC_022477_Kurtus_gulliveri	TOPOLOGY		circular	
	source	1..16661	ff_definition	NC_022477_Kurtus_gulliveri mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022477_Kurtus_gulliveri
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2867..3841	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4208..5251	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5638..7197	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7342..8032	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8032,aa:TERM)
			transl_table	2
	CDS	8109..8276	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8255..8950	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9029..9813	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9812..9813,aa:TERM)
			transl_table	2
	CDS	9885..10233	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10233,aa:TERM)
			transl_table	2
	CDS	10303..10599	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10593..11973	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11973,aa:TERM)
			transl_table	2
	CDS	12194..14032	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14029..14550)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14624..15764	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15764,aa:TERM)
			transl_table	2
	rRNA	70..1027	product	12S rRNA
	rRNA	1100..2792	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1028..1099	product	tRNA-Val
	tRNA	2793..2866	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	complement(3892..3962)	product	tRNA-Gln
	tRNA	3962..4030	product	tRNA-Met
	tRNA	4051..4120	product	tRNA-Ile
	tRNA	4138..4207	product	tRNA-Met
	tRNA	5254..5325	product	tRNA-Trp
	tRNA	complement(5327..5396)	product	tRNA-Ala
	tRNA	complement(5398..5470)	product	tRNA-Asn
	tRNA	complement(5502..5566)	product	tRNA-Cys
	tRNA	complement(5567..5636)	product	tRNA-Tyr
	tRNA	complement(7189..7259)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7263..7336	product	tRNA-Asp
	tRNA	8033..8106	product	tRNA-Lys
	tRNA	9814..9884	product	tRNA-Gly
	tRNA	10234..10302	product	tRNA-Arg
	tRNA	11974..12042	product	tRNA-His
	tRNA	12043..12109	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12121..12193	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14551..14619)	product	tRNA-Glu
	tRNA	15765..15836	product	tRNA-Thr
	tRNA	complement(15846..15915)	product	tRNA-Pro
	D-loop	15916..16661	note	control region
