NC_006818_Trachurus_trachurus	TOPOLOGY		circular	
	source	1..16559	ff_definition	NC_006818_Trachurus_trachurus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_006818_Trachurus_trachurus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2887..3861	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4076..5120	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5120,aa:TERM)
			transl_table	2
	CDS	5512..7062	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7215..7905	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7905,aa:TERM)
			transl_table	2
	CDS	7982..8146	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8140..8822	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8821..8822,aa:TERM)
			transl_table	2
	CDS	8823..9607	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9606..9607,aa:TERM)
			transl_table	2
	CDS	9678..10026	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10026,aa:TERM)
			transl_table	2
	CDS	10097..10393	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10387..11767	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11767,aa:TERM)
			transl_table	2
	CDS	11985..13823	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13820..14341)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14415..15555	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15555,aa:TERM)
			transl_table	2
	rRNA	69..1023	product	12S rRNA
	rRNA	1096..2812	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1024..1095	product	tRNA-Val
	tRNA	2813..2886	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3867..3936	product	tRNA-Ile
	tRNA	complement(3936..4006)	product	tRNA-Gln
	tRNA	4006..4075	product	tRNA-Met
	tRNA	5121..5191	product	tRNA-Trp
	tRNA	complement(5193..5261)	product	tRNA-Ala
	tRNA	complement(5263..5335)	product	tRNA-Asn
	tRNA	complement(5374..5440)	product	tRNA-Cys
	tRNA	complement(5441..5510)	product	tRNA-Tyr
	tRNA	complement(7063..7133)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7137..7207	product	tRNA-Asp
	tRNA	7906..7980	product	tRNA-Lys
	tRNA	9608..9677	product	tRNA-Gly
	tRNA	10027..10095	product	tRNA-Arg
	tRNA	11768..11839	product	tRNA-His
	tRNA	11840..11907	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11912..11984	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14342..14410)	product	tRNA-Glu
	tRNA	15556..15627	product	tRNA-Thr
	tRNA	complement(15627..15697)	product	tRNA-Pro
	D-loop	15698..16559	note	control region
