NC_015346_Sphoeroides_testudineus	TOPOLOGY		circular	
	source	1..16446	ff_definition	NC_015346_Sphoeroides_testudineus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015346_Sphoeroides_testudineus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2833..3807	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4020..5065	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5064..5065,aa:TERM)
			transl_table	2
	CDS	5450..7009	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7151..7841	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7841,aa:TERM)
			transl_table	2
	CDS	7917..8084	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8075..8757	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8756..8757,aa:TERM)
			transl_table	2
	CDS	8758..9542	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9541..9542,aa:TERM)
			transl_table	2
	CDS	9614..9962	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9962,aa:TERM)
			transl_table	2
	CDS	10033..10329	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10323..11703	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11703,aa:TERM)
			transl_table	2
	CDS	11920..13758	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13754..14275)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14349..15485	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1014	product	12S rRNA
	rRNA	1088..2758	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1015..1087	product	tRNA-Val
	tRNA	2759..2832	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3811..3880	product	tRNA-Ile
	tRNA	complement(3880..3950)	product	tRNA-Gln
	tRNA	3950..4019	product	tRNA-Met
	tRNA	5066..5136	product	tRNA-Trp
	tRNA	complement(5138..5206)	product	tRNA-Ala
	tRNA	complement(5209..5281)	product	tRNA-Asn
	tRNA	complement(5315..5378)	product	tRNA-Cys
	tRNA	complement(5379..5448)	product	tRNA-Tyr
	tRNA	complement(7001..7071)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7075..7146	product	tRNA-Asp
	tRNA	7842..7915	product	tRNA-Lys
	tRNA	9543..9613	product	tRNA-Gly
	tRNA	9963..10032	product	tRNA-Arg
	tRNA	11704..11772	product	tRNA-His
	tRNA	11773..11839	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11847..11919	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14276..14344)	product	tRNA-Glu
	tRNA	15490..15561	product	tRNA-Thr
	tRNA	complement(15561..15630)	product	tRNA-Pro
	D-loop	15631..16446	note	control region
