NC_015356_Tylerius_spinosissimus	TOPOLOGY		circular	
	source	1..16462	ff_definition	NC_015356_Tylerius_spinosissimus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015356_Tylerius_spinosissimus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2827..3801	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4013..5058	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5057..5058,aa:TERM)
			transl_table	2
	CDS	5443..7002	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7143..7833	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7833,aa:TERM)
			transl_table	2
	CDS	7908..8075	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8066..8748	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8747..8748,aa:TERM)
			transl_table	2
	CDS	8749..9533	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9532..9533,aa:TERM)
			transl_table	2
	CDS	9605..9953	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9953,aa:TERM)
			transl_table	2
	CDS	10024..10320	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10314..11694	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11694,aa:TERM)
			transl_table	2
	CDS	11909..13747	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13743..14264)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14338..15474	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1016	product	12S rRNA
	rRNA	1090..2753	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1017..1089	product	tRNA-Val
	tRNA	2754..2826	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3803..3872	product	tRNA-Ile
	tRNA	complement(3872..3942)	product	tRNA-Gln
	tRNA	3944..4012	product	tRNA-Met
	tRNA	5059..5129	product	tRNA-Trp
	tRNA	complement(5131..5199)	product	tRNA-Ala
	tRNA	complement(5202..5274)	product	tRNA-Asn
	tRNA	complement(5309..5372)	product	tRNA-Cys
	tRNA	complement(5372..5441)	product	tRNA-Tyr
	tRNA	complement(6994..7064)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7068..7139	product	tRNA-Asp
	tRNA	7834..7906	product	tRNA-Lys
	tRNA	9534..9604	product	tRNA-Gly
	tRNA	9954..10023	product	tRNA-Arg
	tRNA	11695..11763	product	tRNA-His
	tRNA	11764..11830	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11836..11908	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14265..14333)	product	tRNA-Glu
	tRNA	15478..15549	product	tRNA-Thr
	tRNA	complement(15549..15618)	product	tRNA-Pro
	D-loop	15619..16462	note	control region
