NC_030279_Syngnathus_typhle	TOPOLOGY		circular	
	source	1..16488	ff_definition	NC_030279_Syngnathus_typhle mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_030279_Syngnathus_typhle
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2811..3785	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	3996..5037	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5037,aa:TERM)
			transl_table	2
	CDS	5419..6969	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7115..7805	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7805,aa:TERM)
			transl_table	2
	CDS	7882..8049	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8040..8722	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8721..8722,aa:TERM)
			transl_table	2
	CDS	8723..9507	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9506..9507,aa:TERM)
			transl_table	2
	CDS	9578..9926	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9926,aa:TERM)
			transl_table	2
	CDS	9996..10292	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10286..11666	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11666,aa:TERM)
			transl_table	2
	CDS	11878..13713	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13710..14231)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14305..15445	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15445,aa:TERM)
			transl_table	2
	rRNA	71..1005	product	12S rRNA
	rRNA	1078..2737	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1006..1077	product	tRNA-Val
	tRNA	2738..2810	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3787..3856	product	tRNA-Ile
	tRNA	complement(3856..3925)	product	tRNA-Gln
	tRNA	3927..3995	product	tRNA-Met
	tRNA	5038..5105	product	tRNA-Trp
	tRNA	complement(5106..5174)	product	tRNA-Ala
	tRNA	complement(5176..5248)	product	tRNA-Asn
	tRNA	complement(5285..5350)	product	tRNA-Cys
	tRNA	complement(5351..5417)	product	tRNA-Tyr
	tRNA	complement(6970..7040)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7044..7111	product	tRNA-Asp
	tRNA	7806..7880	product	tRNA-Lys
	tRNA	9508..9577	product	tRNA-Gly
	tRNA	9927..9995	product	tRNA-Arg
	tRNA	11667..11735	product	tRNA-His
	tRNA	11736..11803	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11807..11877	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14232..14299)	product	tRNA-Glu
	tRNA	15446..15517	product	tRNA-Thr
	tRNA	complement(15550..15618)	product	tRNA-Pro
	D-loop	15619..16488	note	control region
