NC_004384_Melanocetus_murrayi	TOPOLOGY		circular	
	source	1..16758	ff_definition	NC_004384_Melanocetus_murrayi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_004384_Melanocetus_murrayi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2867..3841	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4053..5098	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5097..5098,aa:TERM)
			transl_table	2
	CDS	5488..7038	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7195..7885	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7885,aa:TERM)
			transl_table	2
	CDS	7961..8128	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8107..8802	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9135..9919	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9918..9919,aa:TERM)
			transl_table	2
	CDS	9992..10340	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10340,aa:TERM)
			transl_table	2
	CDS	10410..10706	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10700..12080	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12080,aa:TERM)
			transl_table	2
	CDS	12293..14131	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14128..14649)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14723..15863	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15863,aa:TERM)
			transl_table	2
	rRNA	69..1022	product	12S rRNA
	rRNA	1095..2792	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1023..1094	product	tRNA-Val
	tRNA	2793..2866	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3846..3914	product	tRNA-Ile
	tRNA	complement(3914..3984)	product	tRNA-Gln
	tRNA	3984..4052	product	tRNA-Met
	tRNA	5099..5170	product	tRNA-Trp
	tRNA	complement(5242..5314)	product	tRNA-Asn
	tRNA	complement(5351..5416)	product	tRNA-Cys
	tRNA	complement(5417..5486)	product	tRNA-Tyr
	tRNA	complement(7040..7110)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7115..7186	product	tRNA-Asp
	tRNA	7886..7959	product	tRNA-Lys
	tRNA	9920..9991	product	tRNA-Gly
	tRNA	10341..10409	product	tRNA-Arg
	tRNA	12081..12149	product	tRNA-His
	tRNA	12150..12217	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12221..12292	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14650..14717)	product	tRNA-Glu
	tRNA	15864..15934	product	tRNA-Thr
	tRNA	complement(15934..16003)	product	tRNA-Pro
	D-loop	16004..16758	note	control region
