NC_004373_Carapus_bermudensis	TOPOLOGY		circular	
	source	1..16613	ff_definition	NC_004373_Carapus_bermudensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_004373_Carapus_bermudensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2832..3805	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3804..3805,aa:TERM)
			transl_table	2
	CDS	3989..5033	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5033,aa:TERM)
			transl_table	2
	CDS	5422..6981	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7123..7813	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7813,aa:TERM)
			transl_table	2
	CDS	7889..8056	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8047..8729	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8728..8729,aa:TERM)
			transl_table	2
	CDS	8730..9514	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9513..9514,aa:TERM)
			transl_table	2
	CDS	9586..9934	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9934,aa:TERM)
			transl_table	2
	CDS	10005..10301	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10295..11675	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11675,aa:TERM)
			transl_table	2
	CDS	11890..13758	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13754..14275)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14348..15488	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15488,aa:TERM)
			transl_table	2
	rRNA	70..1016	product	12S rRNA
	rRNA	1088..2757	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1017..1087	product	tRNA-Val
	tRNA	2758..2831	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3806..3875	product	tRNA-Ile
	tRNA	complement(3875..3945)	product	tRNA-Gln
	tRNA	5034..5103	product	tRNA-Trp
	tRNA	complement(5105..5173)	product	tRNA-Ala
	tRNA	complement(5175..5247)	product	tRNA-Asn
	tRNA	complement(5287..5350)	product	tRNA-Cys
	tRNA	complement(5351..5420)	product	tRNA-Tyr
	tRNA	complement(6972..7042)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7045..7115	product	tRNA-Asp
	tRNA	7814..7887	product	tRNA-Lys
	tRNA	9515..9585	product	tRNA-Gly
	tRNA	9935..10004	product	tRNA-Arg
	tRNA	11676..11744	product	tRNA-His
	tRNA	11745..11813	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11816..11888	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14276..14344)	product	tRNA-Glu
	tRNA	15489..15560	product	tRNA-Thr
	tRNA	complement(16174..16244)	product	tRNA-Pro
	tRNA	16539..16608	product	tRNA-Met
	D-loop	15561..16173	note	control region
