NC_023539_Liachirus_melanospilos	TOPOLOGY		circular	
	source	1..17001	ff_definition	NC_023539_Liachirus_melanospilos mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023539_Liachirus_melanospilos
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2872..3846	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4072..5118	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5525..7075	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7227..7920	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7920,aa:TERM)
			transl_table	2
	CDS	7996..8163	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8154..8837	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8840..9623	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9623,aa:TERM)
			transl_table	2
	CDS	9694..10039	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10039,aa:TERM)
			transl_table	2
	CDS	10109..10405	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10399..11779	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11779,aa:TERM)
			transl_table	2
	CDS	11996..13834	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13831..14352)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14426..15566	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15566,aa:TERM)
			transl_table	2
	rRNA	70..1026	product	12S rRNA
	rRNA	1100..2797	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1027..1099	product	tRNA-Val
	tRNA	2798..2871	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3849..3917	product	tRNA-Ile
	tRNA	complement(3917..3987)	product	tRNA-Gln
	tRNA	4003..4071	product	tRNA-Met
	tRNA	5129..5201	product	tRNA-Trp
	tRNA	complement(5206..5274)	product	tRNA-Ala
	tRNA	complement(5276..5348)	product	tRNA-Asn
	tRNA	complement(5388..5453)	product	tRNA-Cys
	tRNA	complement(5454..5523)	product	tRNA-Tyr
	tRNA	complement(7077..7148)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7152..7221	product	tRNA-Asp
	tRNA	7921..7994	product	tRNA-Lys
	tRNA	9624..9693	product	tRNA-Gly
	tRNA	10040..10108	product	tRNA-Arg
	tRNA	11780..11848	product	tRNA-His
	tRNA	11849..11916	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11923..11995	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14353..14421)	product	tRNA-Glu
	tRNA	15567..15639	product	tRNA-Thr
	tRNA	complement(15711..15781)	product	tRNA-Pro
	D-loop	15782..17001	note	control region
