NC_034944_Lepidotrigla_microptera	TOPOLOGY		circular	
	source	1..16610	ff_definition	NC_034944_Lepidotrigla_microptera mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_034944_Lepidotrigla_microptera
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2951..3925	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4139..5184	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5183..5184,aa:TERM)
			transl_table	2
	CDS	5574..7124	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7293..7983	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7983,aa:TERM)
			transl_table	2
	CDS	8059..8274	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8217..8899	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8898..8899,aa:TERM)
			transl_table	2
	CDS	8900..9684	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9683..9684,aa:TERM)
			transl_table	2
	CDS	9757..10105	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10105,aa:TERM)
			transl_table	2
	CDS	10175..10471	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10465..11845	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11845,aa:TERM)
			transl_table	2
	CDS	12060..13898	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13895..14416)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14491..15631	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15631,aa:TERM)
			transl_table	2
	rRNA	472..1109	product	12S rRNA
	rRNA	1182..2876	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1110..1181	product	tRNA-Val
	tRNA	2877..2950	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3930..3999	product	tRNA-Ile
	tRNA	complement(4000..4070)	product	tRNA-Gln
	tRNA	4070..4138	product	tRNA-Met
	tRNA	5185..5255	product	tRNA-Trp
	tRNA	complement(5257..5325)	product	tRNA-Ala
	tRNA	complement(5327..5399)	product	tRNA-Asn
	tRNA	complement(5438..5502)	product	tRNA-Cys
	tRNA	complement(5503..5572)	product	tRNA-Tyr
	tRNA	complement(7125..7195)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7199..7271	product	tRNA-Asp
	tRNA	7984..8057	product	tRNA-Lys
	tRNA	9685..9756	product	tRNA-Gly
	tRNA	10106..10174	product	tRNA-Arg
	tRNA	11846..11914	product	tRNA-His
	tRNA	11915..11982	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11987..12059	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14417..14485)	product	tRNA-Glu
	tRNA	15632..15703	product	tRNA-Thr
	tRNA	complement(15703..15772)	product	tRNA-Pro
	D-loop	15773..16610	note	control region
