NC_021620_Eleutheronema_tetradactylum	TOPOLOGY		circular	
	source	1..16470	ff_definition	NC_021620_Eleutheronema_tetradactylum mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_021620_Eleutheronema_tetradactylum
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2898..3872	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4085..5131	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5514..7079	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7215..7905	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7905,aa:TERM)
			transl_table	2
	CDS	7981..8148	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8139..8821	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8820..8821,aa:TERM)
			transl_table	2
	CDS	8822..9607	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9696..10044	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10044,aa:TERM)
			transl_table	2
	CDS	10114..10410	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10404..11787	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11787,aa:TERM)
			transl_table	2
	CDS	12005..13843	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13836..14360)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14436..15576	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15576,aa:TERM)
			transl_table	2
	rRNA	70..1025	product	12S rRNA
	rRNA	1098..2821	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1026..1097	product	tRNA-Val
	tRNA	2822..2897	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	complement(3946..4016)	product	tRNA-Gln
	tRNA	4016..4084	product	tRNA-Met
	tRNA	5132..5190	product	tRNA-Trp
	tRNA	complement(5196..5264)	product	tRNA-Ala
	tRNA	complement(5266..5338)	product	tRNA-Asn
	tRNA	complement(5377..5442)	product	tRNA-Cys
	tRNA	complement(5443..5512)	product	tRNA-Tyr
	tRNA	complement(7067..7137)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7138..7205	product	tRNA-Asp
	tRNA	7906..7979	product	tRNA-Lys
	tRNA	9624..9695	product	tRNA-Gly
	tRNA	10045..10113	product	tRNA-Arg
	tRNA	11788..11856	product	tRNA-His
	tRNA	11857..11925	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11932..12004	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14362..14430)	product	tRNA-Glu
	tRNA	15577..15649	product	tRNA-Thr
	tRNA	complement(15649..15719)	product	tRNA-Pro
	tRNA	16413..16470	product	tRNA-Phe
	D-loop	15720..16412	note	control region
