NC_024434_Pareuchiloglanis_sinensis	TOPOLOGY		circular	
	source	1..16593	ff_definition	NC_024434_Pareuchiloglanis_sinensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024434_Pareuchiloglanis_sinensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2898..3863	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4089..5133	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5133,aa:TERM)
			transl_table	2
	CDS	5519..7066	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7229..7916	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7916,aa:TERM)
			transl_table	2
	CDS	7990..8157	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8148..8830	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8829..8830,aa:TERM)
			transl_table	2
	CDS	8831..9614	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9614,aa:TERM)
			transl_table	2
	CDS	9685..10033	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10033,aa:TERM)
			transl_table	2
	CDS	10108..10401	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10395..11778	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11778,aa:TERM)
			transl_table	2
	CDS	11994..13820	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13817..14332)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14406..15543	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15543,aa:TERM)
			transl_table	2
	rRNA	72..1027	product	12S rRNA
	rRNA	1100..2819	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1028..1099	product	tRNA-Val
	tRNA	2820..2894	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3877..3948	product	tRNA-Ile
	tRNA	complement(3948..4018)	product	tRNA-Gln
	tRNA	4019..4087	product	tRNA-Met
	tRNA	5134..5203	product	tRNA-Trp
	tRNA	complement(5206..5274)	product	tRNA-Ala
	tRNA	complement(5276..5348)	product	tRNA-Asn
	tRNA	complement(5380..5446)	product	tRNA-Cys
	tRNA	complement(5447..5517)	product	tRNA-Tyr
	tRNA	complement(7067..7137)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7143..7212	product	tRNA-Asp
	tRNA	7917..7988	product	tRNA-Lys
	tRNA	9615..9684	product	tRNA-Gly
	tRNA	10034..10104	product	tRNA-Arg
	tRNA	11779..11848	product	tRNA-His
	tRNA	11849..11916	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11921..11993	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14334..14402)	product	tRNA-Glu
	tRNA	15544..15620	product	tRNA-Thr
	tRNA	complement(15619..15687)	product	tRNA-Pro
	D-loop	15688..16593	note	control region
