NC_029389_Priacanthus_tayenus	TOPOLOGY		circular	
	source	1..16866	ff_definition	NC_029389_Priacanthus_tayenus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_029389_Priacanthus_tayenus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2876..3850	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4063..5105	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5104..5105,aa:TERM)
			transl_table	2
	CDS	5494..7071	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7233..7923	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7923,aa:TERM)
			transl_table	2
	CDS	8000..8167	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8158..8841	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9062..9846	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9845..9846,aa:TERM)
			transl_table	2
	CDS	9918..10266	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10266,aa:TERM)
			transl_table	2
	CDS	10336..10632	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10626..12006	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12006,aa:TERM)
			transl_table	2
	CDS	12225..14063	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14067..14588)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14664..15804	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15804,aa:TERM)
			transl_table	2
	rRNA	71..1029	product	12S rRNA
	rRNA	1103..2801	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1030..1102	product	tRNA-Val
	tRNA	2802..2875	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3855..3924	product	tRNA-Ile
	tRNA	complement(3924..3994)	product	tRNA-Gln
	tRNA	3994..4062	product	tRNA-Met
	tRNA	5106..5178	product	tRNA-Trp
	tRNA	complement(5179..5247)	product	tRNA-Ala
	tRNA	complement(5249..5321)	product	tRNA-Asn
	tRNA	complement(5358..5424)	product	tRNA-Cys
	tRNA	complement(5425..5492)	product	tRNA-Tyr
	tRNA	complement(7082..7152)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7154..7226	product	tRNA-Asp
	tRNA	7924..7998	product	tRNA-Lys
	tRNA	9847..9917	product	tRNA-Gly
	tRNA	10267..10335	product	tRNA-Arg
	tRNA	12007..12075	product	tRNA-His
	tRNA	12076..12142	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12152..12224	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14589..14657)	product	tRNA-Glu
	tRNA	15805..15875	product	tRNA-Thr
	tRNA	complement(15875..15946)	product	tRNA-Pro
	D-loop	15947..16866	note	control region
