NC_013626_Labichthys_carinatus	TOPOLOGY		circular	
	source	1..16683	ff_definition	NC_013626_Labichthys_carinatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013626_Labichthys_carinatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2880..3851	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4061..5105	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5105,aa:TERM)
			transl_table	2
	CDS	5507..7081	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7243..7933	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7933,aa:TERM)
			transl_table	2
	CDS	8011..8178	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8169..8851	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8850..8851,aa:TERM)
			transl_table	2
	CDS	8852..9636	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9635..9636,aa:TERM)
			transl_table	2
	CDS	9709..10057	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10057,aa:TERM)
			transl_table	2
	CDS	10128..10424	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10418..11798	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11798,aa:TERM)
			transl_table	2
	CDS	12011..13852	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13849..14370)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14445..15584	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1026	product	12S rRNA
	rRNA	1098..2804	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1027..1097	product	tRNA-Val
	tRNA	2805..2879	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3853..3922	product	tRNA-Ile
	tRNA	complement(3922..3992)	product	tRNA-Gln
	tRNA	3992..4060	product	tRNA-Met
	tRNA	5106..5177	product	tRNA-Trp
	tRNA	complement(5179..5247)	product	tRNA-Ala
	tRNA	complement(5249..5321)	product	tRNA-Asn
	tRNA	complement(5370..5434)	product	tRNA-Cys
	tRNA	complement(5435..5505)	product	tRNA-Tyr
	tRNA	complement(7091..7161)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7167..7236	product	tRNA-Asp
	tRNA	7934..8009	product	tRNA-Lys
	tRNA	9637..9708	product	tRNA-Gly
	tRNA	10058..10127	product	tRNA-Arg
	tRNA	11799..11867	product	tRNA-His
	tRNA	11868..11937	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11938..12010	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14371..14439)	product	tRNA-Glu
	tRNA	15586..15659	product	tRNA-Thr
	tRNA	complement(15665..15734)	product	tRNA-Pro
	D-loop	15735..16683	note	control region
