NC_011623_Chelonodon_patoca	TOPOLOGY		circular	
	source	1..16720	ff_definition	NC_011623_Chelonodon_patoca mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011623_Chelonodon_patoca
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2844..3818	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4031..5076	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5075..5076,aa:TERM)
			transl_table	2
	CDS	5461..7020	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7161..7851	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7851,aa:TERM)
			transl_table	2
	CDS	8183..8350	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8341..9023	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:9022..9023,aa:TERM)
			transl_table	2
	CDS	9024..9808	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9807..9808,aa:TERM)
			transl_table	2
	CDS	9880..10228	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10228,aa:TERM)
			transl_table	2
	CDS	10299..10595	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10589..11969	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11969,aa:TERM)
			transl_table	2
	CDS	12184..14040	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14033..14554)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14628..15764	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1015	product	12S rRNA
	rRNA	1089..2769	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1016..1088	product	tRNA-Val
	tRNA	2770..2843	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3822..3891	product	tRNA-Ile
	tRNA	complement(3891..3961)	product	tRNA-Gln
	tRNA	3961..4030	product	tRNA-Met
	tRNA	5077..5147	product	tRNA-Trp
	tRNA	complement(5149..5217)	product	tRNA-Ala
	tRNA	complement(5220..5292)	product	tRNA-Asn
	tRNA	complement(5326..5389)	product	tRNA-Cys
	tRNA	complement(5390..5459)	product	tRNA-Tyr
	tRNA	complement(7012..7083)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7087..7154	product	tRNA-Asp
	tRNA	7852..7925	product	tRNA-Lys
	tRNA	9809..9879	product	tRNA-Gly
	tRNA	10229..10298	product	tRNA-Arg
	tRNA	11970..12038	product	tRNA-His
	tRNA	12039..12105	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12111..12183	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14555..14624)	product	tRNA-Glu
	tRNA	15769..15841	product	tRNA-Thr
	tRNA	complement(15841..15910)	product	tRNA-Pro
	D-loop	15911..16720	note	control region
