NC_011636_Torquigener_brevipinnis	TOPOLOGY		circular	
	source	1..16441	ff_definition	NC_011636_Torquigener_brevipinnis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_011636_Torquigener_brevipinnis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2827..3801	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4011..5056	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5055..5056,aa:TERM)
			transl_table	2
	CDS	5442..7001	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7146..7836	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7836,aa:TERM)
			transl_table	2
	CDS	7911..8078	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8069..8751	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8750..8751,aa:TERM)
			transl_table	2
	CDS	8752..9536	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9535..9536,aa:TERM)
			transl_table	2
	CDS	9608..9956	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9956,aa:TERM)
			transl_table	2
	CDS	10027..10323	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10317..11697	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11697,aa:TERM)
			transl_table	2
	CDS	11912..13750	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13746..14267)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14342..15478	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1015	product	12S rRNA
	rRNA	1089..2753	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1016..1088	product	tRNA-Val
	tRNA	2754..2826	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3803..3872	product	tRNA-Ile
	tRNA	complement(3872..3942)	product	tRNA-Gln
	tRNA	3942..4010	product	tRNA-Met
	tRNA	5057..5127	product	tRNA-Trp
	tRNA	complement(5129..5197)	product	tRNA-Ala
	tRNA	complement(5200..5273)	product	tRNA-Asn
	tRNA	complement(5308..5371)	product	tRNA-Cys
	tRNA	complement(5371..5440)	product	tRNA-Tyr
	tRNA	complement(6993..7064)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7068..7139	product	tRNA-Asp
	tRNA	7837..7909	product	tRNA-Lys
	tRNA	9537..9607	product	tRNA-Gly
	tRNA	9957..10026	product	tRNA-Arg
	tRNA	11698..11766	product	tRNA-His
	tRNA	11767..11833	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11839..11911	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14268..14336)	product	tRNA-Glu
	tRNA	15482..15553	product	tRNA-Thr
	tRNA	complement(15553..15622)	product	tRNA-Pro
	D-loop	15623..16441	note	control region
