NC_027946_Hemigrammus_bleheri	TOPOLOGY		circular	
	source	1..17021	ff_definition	NC_027946_Hemigrammus_bleheri mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027946_Hemigrammus_bleheri
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2823..3797	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4028..5083	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5547..7106	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7252..7939	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7939,aa:TERM)
			transl_table	2
	CDS	8013..8180	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8171..8849	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8849,aa:TERM)
			transl_table	2
	CDS	8850..9633	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9633,aa:TERM)
			transl_table	2
	CDS	9705..10054	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10053..10054,aa:TERM)
			transl_table	2
	CDS	10124..10420	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10414..11794	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11794,aa:TERM)
			transl_table	2
	CDS	12010..13845	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13849..14360)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14435..15568	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..993	product	12S rRNA
	rRNA	1066..2746	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	994..1065	product	tRNA-Val
	tRNA	2747..2822	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3805..3876	product	tRNA-Ile
	tRNA	complement(3875..3946)	product	tRNA-Gln
	tRNA	3954..4027	product	tRNA-Met
	tRNA	5161..5230	product	tRNA-Trp
	tRNA	complement(5235..5303)	product	tRNA-Ala
	tRNA	complement(5305..5377)	product	tRNA-Asn
	tRNA	complement(5407..5475)	product	tRNA-Cys
	tRNA	complement(5475..5545)	product	tRNA-Tyr
	tRNA	complement(7094..7166)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7170..7238	product	tRNA-Asp
	tRNA	7940..8011	product	tRNA-Lys
	tRNA	9634..9704	product	tRNA-Gly
	tRNA	10055..10123	product	tRNA-Arg
	tRNA	11795..11863	product	tRNA-His
	tRNA	11864..11931	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11933..12005	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14361..14424)	product	tRNA-Glu
	tRNA	15574..15645	product	tRNA-Thr
	tRNA	complement(15644..15713)	product	tRNA-Pro
	D-loop	15714..17021	note	control region
