NC_003167_Zu_cristatus	TOPOLOGY		circular	
	source	1..15987	ff_definition	NC_003167_Zu_cristatus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_003167_Zu_cristatus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2839..3807	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4025..5069	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5069,aa:TERM)
			transl_table	2
	CDS	5559..7109	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7266..7956	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7956,aa:TERM)
			transl_table	2
	CDS	8032..8199	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8190..8872	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8871..8872,aa:TERM)
			transl_table	2
	CDS	8873..9657	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9656..9657,aa:TERM)
			transl_table	2
	CDS	9727..10075	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10075,aa:TERM)
			transl_table	2
	CDS	10145..10441	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10435..11815	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11815,aa:TERM)
			transl_table	2
	CDS	12032..13864	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13860..14381)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14454..15594	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15594,aa:TERM)
			transl_table	2
	rRNA	68..1015	product	12S rRNA
	rRNA	1089..2764	product	16S rRNA
	tRNA	1..67	product	tRNA-Phe
	tRNA	1016..1088	product	tRNA-Val
	tRNA	2765..2838	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3817..3886	product	tRNA-Ile
	tRNA	complement(3886..3956)	product	tRNA-Gln
	tRNA	3956..4024	product	tRNA-Met
	tRNA	5070..5142	product	tRNA-Trp
	tRNA	complement(5275..5343)	product	tRNA-Ala
	tRNA	complement(5344..5416)	product	tRNA-Asn
	tRNA	complement(5425..5489)	product	tRNA-Cys
	tRNA	complement(5490..5557)	product	tRNA-Tyr
	tRNA	complement(7110..7180)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7184..7252	product	tRNA-Asp
	tRNA	7957..8030	product	tRNA-Lys
	tRNA	9658..9726	product	tRNA-Gly
	tRNA	10076..10144	product	tRNA-Arg
	tRNA	11816..11885	product	tRNA-His
	tRNA	11886..11952	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11959..12031	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14382..14450)	product	tRNA-Glu
	tRNA	15595..15665	product	tRNA-Thr
	tRNA	complement(15665..15733)	product	tRNA-Pro
