NC_028416_Acanthorhodeus_gracilis	TOPOLOGY		circular	
	source	1..16988	ff_definition	NC_028416_Acanthorhodeus_gracilis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_028416_Acanthorhodeus_gracilis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	3062..4036	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4252..5296	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5296,aa:TERM)
			transl_table	2
	CDS	5681..7231	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7383..8073	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8073,aa:TERM)
			transl_table	2
	CDS	8151..8315	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8309..8991	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8990..8991,aa:TERM)
			transl_table	2
	CDS	8992..9775	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9775,aa:TERM)
			transl_table	2
	CDS	9847..10195	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10195,aa:TERM)
			transl_table	2
	CDS	10265..10561	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10555..11936	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11935..11936,aa:TERM)
			transl_table	2
	CDS	12149..13984	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13981..14502)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14574..15714	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15714,aa:TERM)
			transl_table	2
	rRNA	70..1027	product	12S rRNA
	rRNA	1100..2567	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1028..1099	product	tRNA-Val
	tRNA	2986..3061	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	4041..4112	product	tRNA-Ile
	tRNA	complement(4111..4181)	product	tRNA-Gln
	tRNA	4183..4251	product	tRNA-Met
	tRNA	5297..5366	product	tRNA-Trp
	tRNA	complement(5368..5436)	product	tRNA-Ala
	tRNA	complement(5438..5510)	product	tRNA-Asn
	tRNA	complement(5542..5609)	product	tRNA-Cys
	tRNA	complement(5610..5679)	product	tRNA-Tyr
	tRNA	complement(7232..7302)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7305..7375	product	tRNA-Asp
	tRNA	8074..8149	product	tRNA-Lys
	tRNA	9776..9846	product	tRNA-Gly
	tRNA	10196..10264	product	tRNA-Arg
	tRNA	11937..12005	product	tRNA-His
	tRNA	12006..12074	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12076..12148	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14503..14571)	product	tRNA-Glu
	tRNA	15715..15787	product	tRNA-Thr
	tRNA	complement(15787..15856)	product	tRNA-Pro
	D-loop	15857..16988	note	control region
