NC_024854_Bidyanus_bidyanus	TOPOLOGY		circular	
	source	1..16869	ff_definition	NC_024854_Bidyanus_bidyanus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024854_Bidyanus_bidyanus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2875..3849	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4165..5210	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5209..5210,aa:TERM)
			transl_table	2
	CDS	5602..7167	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7313..8003	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8003,aa:TERM)
			transl_table	2
	CDS	8079..8246	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8237..8919	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8918..8919,aa:TERM)
			transl_table	2
	CDS	8920..9703	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9703,aa:TERM)
			transl_table	2
	CDS	9776..10124	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10124,aa:TERM)
			transl_table	2
	CDS	10194..10490	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10484..11864	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11864,aa:TERM)
			transl_table	2
	CDS	12079..13917	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13914..14435)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14509..15649	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15649,aa:TERM)
			transl_table	2
	rRNA	69..1021	product	12S rRNA
	rRNA	1094..2800	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2801..2874	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3853..3922	product	tRNA-Ile
	tRNA	complement(4026..4096)	product	tRNA-Gln
	tRNA	4096..4164	product	tRNA-Met
	tRNA	5211..5281	product	tRNA-Trp
	tRNA	complement(5283..5351)	product	tRNA-Ala
	tRNA	complement(5353..5425)	product	tRNA-Asn
	tRNA	complement(5464..5529)	product	tRNA-Cys
	tRNA	complement(5530..5600)	product	tRNA-Tyr
	tRNA	complement(7159..7229)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7233..7304	product	tRNA-Asp
	tRNA	8004..8077	product	tRNA-Lys
	tRNA	9704..9775	product	tRNA-Gly
	tRNA	10125..10193	product	tRNA-Arg
	tRNA	11865..11933	product	tRNA-His
	tRNA	11934..12001	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12006..12078	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14436..14504)	product	tRNA-Glu
	tRNA	15650..15721	product	tRNA-Thr
	tRNA	complement(15721..15793)	product	tRNA-Pro
	D-loop	15794..16869	note	control region
