NC_037049_Alepes_djedaba	TOPOLOGY		circular	
	source	1..16563	ff_definition	NC_037049_Alepes_djedaba mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_037049_Alepes_djedaba
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2896..3870	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4087..5131	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5131,aa:TERM)
			transl_table	2
	CDS	5522..7072	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7224..7914	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7914,aa:TERM)
			transl_table	2
	CDS	7991..8158	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8143..8831	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8830..8831,aa:TERM)
			transl_table	2
	CDS	8832..9616	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9615..9616,aa:TERM)
			transl_table	2
	CDS	9687..10035	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10035,aa:TERM)
			transl_table	2
	CDS	10106..10402	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10396..11776	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11776,aa:TERM)
			transl_table	2
	CDS	11993..13831	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13828..14349)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14424..15564	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15564,aa:TERM)
			transl_table	2
	rRNA	69..1020	product	12S rRNA
	rRNA	1093..2820	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1021..1092	product	tRNA-Val
	tRNA	2821..2895	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3877..3946	product	tRNA-Ile
	tRNA	complement(3946..4016)	product	tRNA-Gln
	tRNA	4016..4086	product	tRNA-Met
	tRNA	5132..5202	product	tRNA-Trp
	tRNA	complement(5204..5272)	product	tRNA-Ala
	tRNA	complement(5274..5346)	product	tRNA-Asn
	tRNA	complement(5384..5450)	product	tRNA-Cys
	tRNA	complement(5451..5520)	product	tRNA-Tyr
	tRNA	complement(7073..7143)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7147..7217	product	tRNA-Asp
	tRNA	7915..7989	product	tRNA-Lys
	tRNA	9617..9686	product	tRNA-Gly
	tRNA	10036..10104	product	tRNA-Arg
	tRNA	11777..11847	product	tRNA-His
	tRNA	11848..11915	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11920..11992	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14350..14418)	product	tRNA-Glu
	tRNA	15565..15636	product	tRNA-Thr
	tRNA	complement(15636..15706)	product	tRNA-Pro
	D-loop	15707..16563	note	control region
