NC_009867_Doederleinia_berycoides	TOPOLOGY		circular	
	source	1..16523	ff_definition	NC_009867_Doederleinia_berycoides mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_009867_Doederleinia_berycoides
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2882..3856	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4069..5114	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5113..5114,aa:TERM)
			transl_table	2
	CDS	5500..7062	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7206..7896	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7896,aa:TERM)
			transl_table	2
	CDS	7973..8140	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8131..8813	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8812..8813,aa:TERM)
			transl_table	2
	CDS	8814..9598	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9597..9598,aa:TERM)
			transl_table	2
	CDS	9671..10019	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10019,aa:TERM)
			transl_table	2
	CDS	10090..10386	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10380..11760	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11760,aa:TERM)
			transl_table	2
	CDS	11976..13814	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13811..14332)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14406..15546	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15546,aa:TERM)
			transl_table	2
	rRNA	69..1025	product	12S rRNA
	rRNA	1098..2807	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1026..1097	product	tRNA-Val
	tRNA	2808..2881	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3861..3930	product	tRNA-Ile
	tRNA	complement(3930..4000)	product	tRNA-Gln
	tRNA	4000..4068	product	tRNA-Met
	tRNA	5115..5185	product	tRNA-Trp
	tRNA	complement(5187..5255)	product	tRNA-Ala
	tRNA	complement(5257..5329)	product	tRNA-Asn
	tRNA	complement(5364..5427)	product	tRNA-Cys
	tRNA	complement(5428..5498)	product	tRNA-Tyr
	tRNA	complement(7050..7120)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7125..7197	product	tRNA-Asp
	tRNA	7897..7971	product	tRNA-Lys
	tRNA	9599..9670	product	tRNA-Gly
	tRNA	10020..10089	product	tRNA-Arg
	tRNA	11761..11829	product	tRNA-His
	tRNA	11830..11897	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11903..11975	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14333..14401)	product	tRNA-Glu
	tRNA	15547..15619	product	tRNA-Thr
	tRNA	complement(15619..15688)	product	tRNA-Pro
	D-loop	15689..16523	note	control region
