NC_026237_Pempheris_schwenkii	TOPOLOGY		circular	
	source	1..16516	ff_definition	NC_026237_Pempheris_schwenkii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026237_Pempheris_schwenkii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2856..3830	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4095..5140	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5139..5140,aa:TERM)
			transl_table	2
	CDS	5524..7074	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7227..7917	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7917,aa:TERM)
			transl_table	2
	CDS	7993..8160	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8151..8833	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8832..8833,aa:TERM)
			transl_table	2
	CDS	8834..9618	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9617..9618,aa:TERM)
			transl_table	2
	CDS	9690..10038	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10038,aa:TERM)
			transl_table	2
	CDS	10108..10404	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10398..11778	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11778,aa:TERM)
			transl_table	2
	CDS	11994..13853	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13850..14371)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14501..15640	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1020	product	12S rRNA
	rRNA	1093..2781	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1021..1092	product	tRNA-Val
	tRNA	2782..2855	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3835..3904	product	tRNA-Ile
	tRNA	complement(3904..3974)	product	tRNA-Gln
	tRNA	4023..4094	product	tRNA-Met
	tRNA	5141..5211	product	tRNA-Trp
	tRNA	complement(5213..5281)	product	tRNA-Ala
	tRNA	complement(5283..5355)	product	tRNA-Asn
	tRNA	complement(5387..5452)	product	tRNA-Cys
	tRNA	complement(5453..5522)	product	tRNA-Tyr
	tRNA	complement(7075..7145)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7149..7219	product	tRNA-Asp
	tRNA	7918..7991	product	tRNA-Lys
	tRNA	9619..9689	product	tRNA-Gly
	tRNA	10039..10107	product	tRNA-Arg
	tRNA	11779..11847	product	tRNA-His
	tRNA	11848..11915	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11920..11991	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14372..14440)	product	tRNA-Glu
	tRNA	15649..15722	product	tRNA-Thr
	tRNA	complement(15723..15792)	product	tRNA-Pro
	D-loop	15793..16516	note	control region
