NC_006543_Anguilla_bengalensis_labiata	TOPOLOGY		circular	
	source	1..16833	ff_definition	NC_006543_Anguilla_bengalensis_labiata mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_006543_Anguilla_bengalensis_labiata
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2875..3846	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4059..5103	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5103,aa:TERM)
			transl_table	2
	CDS	5499..7091	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7235..7925	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7925,aa:TERM)
			transl_table	2
	CDS	8003..8170	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8161..8843	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8842..8843,aa:TERM)
			transl_table	2
	CDS	8844..9628	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9627..9628,aa:TERM)
			transl_table	2
	CDS	9701..10049	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10049,aa:TERM)
			transl_table	2
	CDS	10121..10417	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10411..11791	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11791,aa:TERM)
			transl_table	2
	CDS	12005..13846	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13843..14364)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14439..15578	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1017	product	12S rRNA
	rRNA	1089..2798	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1018..1088	product	tRNA-Val
	tRNA	2799..2874	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3849..3920	product	tRNA-Ile
	tRNA	complement(3920..3990)	product	tRNA-Gln
	tRNA	3990..4058	product	tRNA-Met
	tRNA	5104..5175	product	tRNA-Trp
	tRNA	complement(5177..5245)	product	tRNA-Ala
	tRNA	complement(5247..5319)	product	tRNA-Asn
	tRNA	complement(5361..5426)	product	tRNA-Cys
	tRNA	complement(5427..5497)	product	tRNA-Tyr
	tRNA	complement(7083..7153)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7159..7228	product	tRNA-Asp
	tRNA	7926..8001	product	tRNA-Lys
	tRNA	9629..9700	product	tRNA-Gly
	tRNA	10050..10120	product	tRNA-Arg
	tRNA	11792..11860	product	tRNA-His
	tRNA	11861..11931	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11932..12004	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14365..14433)	product	tRNA-Glu
	tRNA	15579..15651	product	tRNA-Thr
	tRNA	complement(15657..15726)	product	tRNA-Pro
	D-loop	15727..16833	note	control region
