NC_020349_Helicolenus_avius	TOPOLOGY		circular	
	source	1..16651	ff_definition	NC_020349_Helicolenus_avius mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_020349_Helicolenus_avius
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2777..3751	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	3966..5011	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5010..5011,aa:TERM)
			transl_table	2
	CDS	5404..6954	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7108..7798	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7798,aa:TERM)
			transl_table	2
	CDS	7874..8041	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8032..8714	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8713..8714,aa:TERM)
			transl_table	2
	CDS	8715..9499	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9498..9499,aa:TERM)
			transl_table	2
	CDS	9572..9920	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9920,aa:TERM)
			transl_table	2
	CDS	9990..10286	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10280..11660	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11660,aa:TERM)
			transl_table	2
	CDS	11875..13713	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13710..14231)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14307..15447	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15447,aa:TERM)
			transl_table	2
	rRNA	69..1014	product	12S rRNA
	rRNA	1087..2702	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1015..1086	product	tRNA-Val
	tRNA	2703..2776	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3755..3826	product	tRNA-Ile
	tRNA	complement(3825..3895)	product	tRNA-Gln
	tRNA	3895..3965	product	tRNA-Met
	tRNA	5012..5082	product	tRNA-Trp
	tRNA	complement(5084..5152)	product	tRNA-Ala
	tRNA	complement(5154..5226)	product	tRNA-Asn
	tRNA	complement(5263..5329)	product	tRNA-Cys
	tRNA	complement(5332..5402)	product	tRNA-Tyr
	tRNA	complement(6955..7025)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7029..7101	product	tRNA-Asp
	tRNA	7799..7872	product	tRNA-Lys
	tRNA	9500..9571	product	tRNA-Gly
	tRNA	9921..9989	product	tRNA-Arg
	tRNA	11661..11729	product	tRNA-His
	tRNA	11730..11797	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11802..11874	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14232..14300)	product	tRNA-Glu
	tRNA	15448..15519	product	tRNA-Thr
	tRNA	complement(15519..15588)	product	tRNA-Pro
	D-loop	15589..16651	note	control region
