NC_015348_Auriglobus_modestus	TOPOLOGY		circular	
	source	1..16807	ff_definition	NC_015348_Auriglobus_modestus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_015348_Auriglobus_modestus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2840..3814	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4027..5072	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5071..5072,aa:TERM)
			transl_table	2
	CDS	5454..7013	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7154..7852	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	8266..8433	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8421..9106	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:9105..9106,aa:TERM)
			transl_table	2
	CDS	9107..9891	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9890..9891,aa:TERM)
			transl_table	2
	CDS	9963..10311	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10311,aa:TERM)
			transl_table	2
	CDS	10382..10678	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10672..12052	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12052,aa:TERM)
			transl_table	2
	CDS	12268..14106	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14102..14623)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14696..15829	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1019	product	12S rRNA
	rRNA	1093..2765	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1020..1092	product	tRNA-Val
	tRNA	2766..2839	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3818..3887	product	tRNA-Ile
	tRNA	complement(3887..3957)	product	tRNA-Gln
	tRNA	3957..4026	product	tRNA-Met
	tRNA	5073..5143	product	tRNA-Trp
	tRNA	complement(5145..5213)	product	tRNA-Ala
	tRNA	complement(5215..5287)	product	tRNA-Asn
	tRNA	complement(5320..5383)	product	tRNA-Cys
	tRNA	complement(5384..5452)	product	tRNA-Tyr
	tRNA	complement(7005..7075)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7079..7148	product	tRNA-Asp
	tRNA	8192..8264	product	tRNA-Lys
	tRNA	9892..9962	product	tRNA-Gly
	tRNA	10312..10381	product	tRNA-Arg
	tRNA	12053..12121	product	tRNA-His
	tRNA	12122..12188	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12195..12267	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14624..14692)	product	tRNA-Glu
	tRNA	15837..15908	product	tRNA-Thr
	tRNA	complement(15908..15977)	product	tRNA-Pro
	D-loop	15978..16807	note	control region
