NC_026234_Gerres_oyena	TOPOLOGY		circular	
	source	1..16839	ff_definition	NC_026234_Gerres_oyena mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_026234_Gerres_oyena
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2922..3896	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4236..5281	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5280..5281,aa:TERM)
			transl_table	2
	CDS	5673..7223	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7390..8080	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8080,aa:TERM)
			transl_table	2
	CDS	8156..8323	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8314..8996	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8995..8996,aa:TERM)
			transl_table	2
	CDS	8997..9781	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9780..9781,aa:TERM)
			transl_table	2
	CDS	9852..10200	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10200,aa:TERM)
			transl_table	2
	CDS	10270..10566	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10560..11940	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11940,aa:TERM)
			transl_table	2
	CDS	12158..13996	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13993..14514)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14588..15728	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15728,aa:TERM)
			transl_table	2
	rRNA	72..1064	product	12S rRNA
	rRNA	1136..2847	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1065..1135	product	tRNA-Val
	tRNA	2848..2921	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3903..3973	product	tRNA-Ile
	tRNA	complement(3998..4068)	product	tRNA-Gln
	tRNA	4166..4235	product	tRNA-Met
	tRNA	5282..5353	product	tRNA-Trp
	tRNA	complement(5355..5423)	product	tRNA-Ala
	tRNA	complement(5426..5498)	product	tRNA-Asn
	tRNA	complement(5534..5600)	product	tRNA-Cys
	tRNA	complement(5601..5671)	product	tRNA-Tyr
	tRNA	complement(7224..7294)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7310..7380	product	tRNA-Asp
	tRNA	8081..8154	product	tRNA-Lys
	tRNA	9782..9851	product	tRNA-Gly
	tRNA	10201..10269	product	tRNA-Arg
	tRNA	11941..12009	product	tRNA-His
	tRNA	12010..12078	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12085..12157	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14515..14583)	product	tRNA-Glu
	tRNA	15729..15801	product	tRNA-Thr
	tRNA	complement(15801..15873)	product	tRNA-Pro
	D-loop	15874..16839	note	control region
