NC_002639_Myxine_glutinosa	TOPOLOGY		circular	
	source	1..18909	ff_definition	NC_002639_Myxine_glutinosa mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_002639_Myxine_glutinosa
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2615..3570	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3569..3570,aa:TERM)
			transl_table	2
	CDS	3794..4838	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:4838,aa:TERM)
			transl_table	2
	CDS	5178..6731	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	6861..7542	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7542,aa:TERM)
			transl_table	2
	CDS	7656..8333	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_table	2
	CDS	8334..8453	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8456..9239	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9239,aa:TERM)
			transl_table	2
	CDS	9331..9675	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	9744..10034	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10028..11399	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11399,aa:TERM)
			transl_table	2
	CDS	11708..13402	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13398..13901)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	13969..15126	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	201..924	product	12S rRNA
	rRNA	1039..2478	product	16S rRNA
	tRNA	1..66	product	tRNA-Phe
	tRNA	929..997	product	tRNA-Val
	tRNA	2539..2612	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3571..3638	product	tRNA-Ile
	tRNA	complement(3640..3710)	product	tRNA-Gln
	tRNA	3715..3783	product	tRNA-Met
	tRNA	4839..4903	product	tRNA-Trp
	tRNA	complement(4903..4966)	product	tRNA-Ala
	tRNA	complement(4969..5034)	product	tRNA-Asn
	tRNA	complement(5035..5100)	product	tRNA-Cys
	tRNA	complement(5105..5170)	product	tRNA-Tyr
	tRNA	complement(6719..6789)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	6793..6858	product	tRNA-Asp
	tRNA	7543..7607	product	tRNA-Lys
	tRNA	9240..9306	product	tRNA-Gly
	tRNA	9678..9742	product	tRNA-Arg
	tRNA	11400..11463	product	tRNA-His
	tRNA	11464..11524	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11526..11596	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(13902..13968)	product	tRNA-Glu
	tRNA	15147..15212	product	tRNA-Thr
	tRNA	complement(15216..15281)	product	tRNA-Pro
	D-loop	15282..18909	note	control region
