NC_023446_Cynoglossus_itinus	TOPOLOGY		circular	
	source	1..16915	ff_definition	NC_023446_Cynoglossus_itinus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_023446_Cynoglossus_itinus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2860..3831	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	5133..6176	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	6568..8118	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	8263..8953	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8953,aa:TERM)
			transl_table	2
	CDS	9054..9868	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:9867..9868,aa:TERM)
			transl_table	2
	CDS	9869..10653	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:10652..10653,aa:TERM)
			transl_table	2
	CDS	10724..11072	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:11072,aa:TERM)
			transl_table	2
	CDS	11142..11438	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	11432..12796	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	13020..14873	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14991..15512)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	15613..16686	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_table	2
	CDS	16687..16749	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	rRNA	69..1017	product	12S rRNA
	rRNA	1090..2786	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1018..1089	product	tRNA-Val
	tRNA	2787..2859	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	4886..4956	product	tRNA-Gln
	tRNA	4982..5050	product	tRNA-Ile
	tRNA	5063..5131	product	tRNA-Met
	tRNA	6178..6247	product	tRNA-Trp
	tRNA	complement(6250..6318)	product	tRNA-Ala
	tRNA	complement(6322..6394)	product	tRNA-Asn
	tRNA	complement(6430..6495)	product	tRNA-Cys
	tRNA	complement(6496..6566)	product	tRNA-Tyr
	tRNA	complement(8119..8189)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	8192..8260	product	tRNA-Asp
	tRNA	8954..9028	product	tRNA-Lys
	tRNA	10654..10723	product	tRNA-Gly
	tRNA	11073..11141	product	tRNA-Arg
	tRNA	12803..12871	product	tRNA-His
	tRNA	12872..12939	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12944..13016	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(15513..15583)	product	tRNA-Glu
	tRNA	16753..16823	product	tRNA-Thr
	tRNA	complement(16823..16892)	product	tRNA-Pro
	D-loop	3832..4885	note	control region
