NC_012825_Cynoglossus_semilaevis	TOPOLOGY		circular	
	source	1..16731	ff_definition	NC_012825_Cynoglossus_semilaevis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_012825_Cynoglossus_semilaevis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2847..3815	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	5097..6140	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	6529..8073	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	8224..8914	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8914,aa:TERM)
			transl_table	2
	CDS	8991..9155	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	9146..9828	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:9827..9828,aa:TERM)
			transl_table	2
	CDS	9829..10613	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:10612..10613,aa:TERM)
			transl_table	2
	CDS	10686..11034	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:11034,aa:TERM)
			transl_table	2
	CDS	11105..11401	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	11395..12766	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12766,aa:TERM)
			transl_table	2
	CDS	12986..14836	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14833..15354)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	15427..16563	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1015	product	12S rRNA
	rRNA	1089..2772	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1016..1088	product	tRNA-Val
	tRNA	2773..2846	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	4798..4868	product	tRNA-Gln
	tRNA	4942..5010	product	tRNA-Ile
	tRNA	5025..5095	product	tRNA-Met
	tRNA	6141..6209	product	tRNA-Trp
	tRNA	complement(6212..6280)	product	tRNA-Ala
	tRNA	complement(6284..6356)	product	tRNA-Asn
	tRNA	complement(6391..6456)	product	tRNA-Cys
	tRNA	complement(6457..6527)	product	tRNA-Tyr
	tRNA	complement(8080..8150)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	8153..8221	product	tRNA-Asp
	tRNA	8915..8989	product	tRNA-Lys
	tRNA	10614..10685	product	tRNA-Gly
	tRNA	11035..11104	product	tRNA-Arg
	tRNA	12767..12835	product	tRNA-His
	tRNA	12836..12903	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12907..12979	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(15355..15423)	product	tRNA-Glu
	tRNA	16567..16636	product	tRNA-Thr
	tRNA	complement(16636..16705)	product	tRNA-Pro
	D-loop	3816..4797	note	control region
