NC_013602_Moringua_microchir	TOPOLOGY		circular	
	source	1..15858	ff_definition	NC_013602_Moringua_microchir mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013602_Moringua_microchir
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2872..3840	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4050..5094	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5094,aa:TERM)
			transl_table	2
	CDS	5479..7074	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7213..7903	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7903,aa:TERM)
			transl_table	2
	CDS	7979..8146	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8137..8819	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8818..8819,aa:TERM)
			transl_table	2
	CDS	8820..9604	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9603..9604,aa:TERM)
			transl_table	2
	CDS	9675..10023	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10023,aa:TERM)
			transl_table	2
	CDS	10093..10389	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10383..11763	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11763,aa:TERM)
			transl_table	2
	CDS	11977..13818	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13815..14336)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14411..15547	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1027	product	12S rRNA
	rRNA	1098..2796	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1028..1097	product	tRNA-Val
	tRNA	2797..2871	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3843..3911	product	tRNA-Ile
	tRNA	complement(3911..3981)	product	tRNA-Gln
	tRNA	3981..4049	product	tRNA-Met
	tRNA	5095..5165	product	tRNA-Trp
	tRNA	complement(5168..5236)	product	tRNA-Ala
	tRNA	complement(5238..5310)	product	tRNA-Asn
	tRNA	complement(5342..5406)	product	tRNA-Cys
	tRNA	complement(5407..5477)	product	tRNA-Tyr
	tRNA	complement(7062..7132)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7138..7207	product	tRNA-Asp
	tRNA	7904..7977	product	tRNA-Lys
	tRNA	9605..9674	product	tRNA-Gly
	tRNA	10024..10092	product	tRNA-Arg
	tRNA	11764..11832	product	tRNA-His
	tRNA	11833..11904	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11905..11976	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14337..14405)	product	tRNA-Glu
	tRNA	15550..15623	product	tRNA-Thr
	tRNA	complement(15632..15702)	product	tRNA-Pro
