NC_027597_Genicanthus_bellus	TOPOLOGY		circular	
	source	1..16734	ff_definition	NC_027597_Genicanthus_bellus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027597_Genicanthus_bellus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2875..3849	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4062..5108	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5519..7069	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7226..7916	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7916,aa:TERM)
			transl_table	2
	CDS	7993..8160	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8151..8833	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8832..8833,aa:TERM)
			transl_table	2
	CDS	8834..9618	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9617..9618,aa:TERM)
			transl_table	2
	CDS	9691..10039	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10039,aa:TERM)
			transl_table	2
	CDS	10109..10405	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10399..11779	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11779,aa:TERM)
			transl_table	2
	CDS	11993..13831	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13828..14349)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14423..15563	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15563,aa:TERM)
			transl_table	2
	rRNA	69..1023	product	12S rRNA
	rRNA	1096..2798	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1024..1095	product	tRNA-Val
	tRNA	2799..2874	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3853..3922	product	tRNA-Ile
	tRNA	complement(3922..3992)	product	tRNA-Gln
	tRNA	3992..4061	product	tRNA-Met
	tRNA	5125..5198	product	tRNA-Trp
	tRNA	complement(5199..5267)	product	tRNA-Ala
	tRNA	complement(5269..5342)	product	tRNA-Asn
	tRNA	complement(5381..5447)	product	tRNA-Cys
	tRNA	complement(5448..5517)	product	tRNA-Tyr
	tRNA	complement(7071..7141)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7147..7218	product	tRNA-Asp
	tRNA	7917..7991	product	tRNA-Lys
	tRNA	9619..9690	product	tRNA-Gly
	tRNA	10040..10108	product	tRNA-Arg
	tRNA	11780..11849	product	tRNA-His
	tRNA	11850..11916	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11920..11992	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14350..14418)	product	tRNA-Glu
	tRNA	15564..15635	product	tRNA-Thr
	tRNA	complement(15635..15704)	product	tRNA-Pro
	D-loop	15705..16734	note	control region
