NC_020350_Perccottus_glenii	TOPOLOGY		circular	
	source	1..16487	ff_definition	NC_020350_Perccottus_glenii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_020350_Perccottus_glenii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2838..3812	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4024..5066	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5065..5066,aa:TERM)
			transl_table	2
	CDS	5454..7007	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7160..7850	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7850,aa:TERM)
			transl_table	2
	CDS	7926..8093	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8084..8765	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8765,aa:TERM)
			transl_table	2
	CDS	8766..9550	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9549..9550,aa:TERM)
			transl_table	2
	CDS	9621..9969	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9969,aa:TERM)
			transl_table	2
	CDS	10039..10335	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10329..11709	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11709,aa:TERM)
			transl_table	2
	CDS	11924..13756	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13757..14278)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14353..15493	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15493,aa:TERM)
			transl_table	2
	rRNA	69..1016	product	12S rRNA
	rRNA	1089..2763	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1017..1088	product	tRNA-Val
	tRNA	2764..2837	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3816..3885	product	tRNA-Ile
	tRNA	complement(3885..3955)	product	tRNA-Gln
	tRNA	3955..4023	product	tRNA-Met
	tRNA	5067..5138	product	tRNA-Trp
	tRNA	complement(5141..5209)	product	tRNA-Ala
	tRNA	complement(5211..5283)	product	tRNA-Asn
	tRNA	complement(5317..5381)	product	tRNA-Cys
	tRNA	complement(5382..5452)	product	tRNA-Tyr
	tRNA	complement(7008..7078)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7082..7153	product	tRNA-Asp
	tRNA	7851..7924	product	tRNA-Lys
	tRNA	9551..9620	product	tRNA-Gly
	tRNA	9970..10038	product	tRNA-Arg
	tRNA	11710..11778	product	tRNA-His
	tRNA	11779..11846	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11851..11923	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14279..14347)	product	tRNA-Glu
	tRNA	15494..15565	product	tRNA-Thr
	tRNA	complement(15565..15634)	product	tRNA-Pro
	D-loop	15635..16487	note	control region
