NC_013764_Raiamas_senegalensis	TOPOLOGY		circular	
	source	1..16854	ff_definition	NC_013764_Raiamas_senegalensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013764_Raiamas_senegalensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2836..3810	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4023..5067	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5067,aa:TERM)
			transl_table	2
	CDS	5447..6997	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7155..7845	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7845,aa:TERM)
			transl_table	2
	CDS	7922..8086	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8068..8762	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8761..8762,aa:TERM)
			transl_table	2
	CDS	8763..9547	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9546..9547,aa:TERM)
			transl_table	2
	CDS	9620..9968	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9968,aa:TERM)
			transl_table	2
	CDS	10039..10335	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10329..11710	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11709..11710,aa:TERM)
			transl_table	2
	CDS	11924..13735	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13732..14253)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14327..15467	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15467,aa:TERM)
			transl_table	2
	rRNA	70..1021	product	12S rRNA
	rRNA	1094..2758	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2759..2833	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3811..3882	product	tRNA-Ile
	tRNA	complement(3881..3951)	product	tRNA-Gln
	tRNA	3954..4022	product	tRNA-Met
	tRNA	5068..5137	product	tRNA-Trp
	tRNA	complement(5139..5206)	product	tRNA-Ala
	tRNA	complement(5208..5280)	product	tRNA-Asn
	tRNA	complement(5311..5375)	product	tRNA-Cys
	tRNA	complement(5375..5445)	product	tRNA-Tyr
	tRNA	complement(6998..7068)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7071..7140	product	tRNA-Asp
	tRNA	7846..7921	product	tRNA-Lys
	tRNA	9548..9619	product	tRNA-Gly
	tRNA	9969..10038	product	tRNA-Arg
	tRNA	11711..11780	product	tRNA-His
	tRNA	11781..11848	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11850..11922	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14254..14322)	product	tRNA-Glu
	tRNA	15468..15540	product	tRNA-Thr
	tRNA	complement(15540..15609)	product	tRNA-Pro
	D-loop	15610..16854	note	control region
